pathwayID,goalName,Policy.Goal,Pathway,Instrument,Implementation,Producer.unit.costs,Final.consumer.price,Final.prod.Q,Prod.Quality,Speed,Trade.or.Legal.Considerations,Overall Feasibility
25,Livestock,Reduce imports of beef by increasing domestic production,Increase supply of cattle via increased use of artificial insemination,Information,Inform producers about the benefits of artificial insemination,=,⬆,⬆,⬆,Slow,NA,NA
26,Livestock,Reduce imports of beef by increasing domestic production,Increase supply of cattle via subsidized calves or breeding material,Subsidy,Subsidize livestock breeding materials,=,⬍,⬆,⬆,Slow,NA,NA
27,Livestock,Reduce imports of beef by increasing domestic production,Increase access to mechanization or tools to reduce non-food uses of cattle,Subsidy,Subsidized farm equipment,=,⬇,⬇,⬍,Slow,NA,NA
28,Poultry,Improve domestic poultry production & consumption,Improve supply by increasing production efficiency,Information,Improve farmer access to training on poultry production,=,⬇,⬆,⬍,Slow,NA,NA
29,Poultry,Improve domestic poultry production & consumption,Improve supply by increasing production efficiency,Information,Improve farmer access to information about good production practices through ICT and digital extension services,=,⬇,⬆,⬍,Fast,NA,NA
30,Poultry,Improve domestic poultry production & consumption,Improve the quantity and quality of chickens produced,Subsidy,Subsidize or fund breeding programs for improving domestic chickens,=,⬇,⬆,⬆,Slow,NA,NA
31,Poultry,Improve domestic poultry production & consumption,Improve the quantity and quality of chickens produced,Subsidy,Subsidize or fund the purchase of high-yielding exotic breeds,=,⬍,⬆,⬍,Medium,NA,NA
32,Livestock,Reduce imports of beef by increasing domestic production,Improve supply by increasing production efficiency through education,Information,Provide extension programs related to improving feeding practices and disease prevention,=,⬍,⬆,⬍,Slow,NA,NA
33,Livestock,Reduce imports of beef by increasing domestic production,Improve supply by reducing mortality,Information,Provide training in health and biosecurity practices,=,⬍,⬆,⬆,Slow,NA,NA
34,Livestock,Reduce imports of beef by increasing domestic production,Reduce producer costs,Subsidy,Subsidize the cost of forage grasses,=,⬇,⬆,⬍,Slow,NA,NA
35,Livestock,Reduce imports of beef by increasing domestic production,Improve supply by reducing livestock mortality,Information,Information about biosecurity management practices,⬆,⬍,⬆,⬆,Slow,NA,NA
36,Livestock,Reduce imports of beef by increasing domestic production,Increase intensification of beef cattle production and access to markets,Information,Information about intensification of beef production through improved crop-livestock systems ,⬆,⬆,⬆,⬍,Medium,NA,NA
39,Cashews,Improve Cashew Producer Income,,,,,,,,,,
