hhid,feed_Chickens,main_purpose_Chickens,form_contract_Chickens,contract_coverage_Chickens,num_Chickens,own_all_Chickens,own_off_holding_Chickens,births_Chickens,bought_Chickens,purchase_price_Chickens,received_Chickens,deaths_Chickens,sold_Chickens,sale_ppkg_Chickens,stolen_Chickens,gift_Chickens,slghtr_Chickens,meat_sold_Chickens,meat_stock_Chickens,meat_stock_purpose_Chickens,breeding_Chickens,breeding_cost_Chickens,vax_Chickens,num_vax_Chickens,trt_int_parasite_Chickens,trt_ext_parasite_Chickens,trt_vax_spending_Chickens,cur_trt_Chickens,cur_trt_spending_Chickens,months_eggs_collected_Chickens,days_month_eggs_collect_Chickens,daily_avg_egg_prod_Chickens,egg_price_Chickens,purchase_spending_Chickens,provision_feed_Chickens,for_sale_live_Chickens,for_eggs_Chickens,for_eggs_sale_Chickens,for_gift_Chickens,for_meat_Chickens,for_hh_consum_Chickens,for_savings_Chickens,for_breeding_Chickens,bought_received_Chickens,growth_Chickens,loss_Chickens,net_growth_Chickens,num_start_Chickens,growth_pct_Chickens,loss_pct_Chickens,net_growth_pct_Chickens,peak_num_Chickens,mortality_rt_Chickens,vax_pct_Chickens,eggs_total_prod_Chickens,eggs_prod_annualized_Chickens,eggs_lost_pct_Chickens,eggs_kept_pct_Chickens,eggs_kept_Chickens,eggs_lost_Chickens,eggs_own_consump_pct_Chickens,eggs_own_consump_Chickens,eggs_sold_pct_Chickens,eggs_sold_Chickens,egg_price_prov_med_Chickens,egg_price_obs_Chickens,egg_price_impt_Chickens,egg_price_natl_med_Chickens,eggs_value_lost_Chickens,eggs_value_cultiv_Chickens,eggs_value_consump_Chickens,eggs_revenue_Chickens,ppkg_prov_med_Chickens,sale_ppkg_obs_Chickens,sale_ppkg_impt_Chickens,ppkg_natl_med_Chickens,sale_price_Chickens,sale_revenue_Chickens,slghtr_ppkg_Chickens,slghtr_unit_value_Chickens,slghtr_value_Chickens,prod_value_Chickens,feed_Ducks,main_purpose_Ducks,form_contract_Ducks,contract_coverage_Ducks,num_Ducks,own_all_Ducks,own_off_holding_Ducks,births_Ducks,bought_Ducks,purchase_price_Ducks,received_Ducks,deaths_Ducks,sold_Ducks,sale_ppkg_Ducks,stolen_Ducks,gift_Ducks,slghtr_Ducks,meat_sold_Ducks,meat_stock_Ducks,meat_stock_purpose_Ducks,breeding_Ducks,breeding_cost_Ducks,vax_Ducks,num_vax_Ducks,trt_int_parasite_Ducks,trt_ext_parasite_Ducks,trt_vax_spending_Ducks,cur_trt_Ducks,cur_trt_spending_Ducks,months_eggs_collected_Ducks,days_month_eggs_collect_Ducks,daily_avg_egg_prod_Ducks,egg_price_Ducks,purchase_spending_Ducks,provision_feed_Ducks,for_sale_live_Ducks,for_eggs_Ducks,for_eggs_sale_Ducks,for_gift_Ducks,for_meat_Ducks,for_hh_consum_Ducks,for_savings_Ducks,for_breeding_Ducks,bought_received_Ducks,growth_Ducks,loss_Ducks,net_growth_Ducks,num_start_Ducks,growth_pct_Ducks,loss_pct_Ducks,net_growth_pct_Ducks,peak_num_Ducks,mortality_rt_Ducks,vax_pct_Ducks,eggs_total_prod_Ducks,eggs_prod_annualized_Ducks,eggs_lost_pct_Ducks,eggs_kept_pct_Ducks,eggs_kept_Ducks,eggs_lost_Ducks,eggs_own_consump_pct_Ducks,eggs_own_consump_Ducks,eggs_sold_pct_Ducks,eggs_sold_Ducks,egg_price_prov_med_Ducks,egg_price_obs_Ducks,egg_price_impt_Ducks,egg_price_natl_med_Ducks,eggs_value_lost_Ducks,eggs_value_cultiv_Ducks,eggs_value_consump_Ducks,eggs_revenue_Ducks,ppkg_prov_med_Ducks,sale_ppkg_obs_Ducks,sale_ppkg_impt_Ducks,ppkg_natl_med_Ducks,sale_price_Ducks,sale_revenue_Ducks,slghtr_ppkg_Ducks,slghtr_unit_value_Ducks,slghtr_value_Ducks,prod_value_Ducks,province
HID101040,1,3,0,,38,1,0,25,0,,0,6,0,20000,0,0,18,0,0,,0,,0,0,0,0,,0,,,,,,,0,0,0,0,0,1,1,0,0,0,25,24,1,37,.67567569,.64864862,.027027028,62,.096774191,0,,,,,,,,,,,,,,800,,,,,20000,,20000,16000,46000,,20000,28000,504000,504000,1,3,0,,12,1,0,10,0,,0,0,0,12000,0,0,6,0,0,,0,,0,0,0,0,,0,,,,,,,0,0,0,0,0,1,1,0,0,0,10,6,4,8,1.25,.75,.5,18,0,0,,,,,,,,,,,,,,500,,,,,12000,,12000,12000,18000,,12000,16800,100800,100800,23
HID101076,1,3,0,,20,1,0,10,0,,0,5,0,18000,0,0,5,0,0,,0,,0,0,0,0,,0,,,,,,,0,0,0,0,0,1,1,0,0,0,10,10,0,20,.5,.5,0,30,.16666667,0,,,,,,,,,,,1000,,,800,,,,,18000,,18000,16000,41400,,18000,23400,117000,117000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
HID101086,1,1,0,,200,1,0,0,0,,0,165,10,13500,10,0,0,0,0,,1,0,0,0,0,0,,0,,,,,,,0,1,0,0,0,0,0,0,0,0,0,185,-185,385,0,.48051947,-.48051947,385,.42857143,0,,,,,,,,,,,,,,800,,,,,15000,13500,,16000,31050,310500,13500,,,310500,1,1,0,,425,1,0,0,0,,0,45,5,10000,0,0,0,0,0,,1,0,0,0,0,0,,0,,,,,,,0,1,0,0,0,0,0,0,0,0,0,50,-50,475,0,.10526316,-.10526316,475,.094736844,0,,,,,,,,,,,250,,,500,,,,,10000,10000,,12000,15000,75000,10000,,,75000,2
HID101130,2,3,0,,15,1,0,20,0,,5,0,10,18000,0,0,10,0,1,1,1,0,0,0,0,0,,0,,,,,,,1,1,0,0,0,1,1,0,0,5,25,20,5,10,2.5,2,.5,35,0,0,,,,,,,,,,,1000,,,800,,,,,18000,18000,,16000,41400,414000,18000,27000,270000,684000,1,3,0,,4,1,0,0,0,,0,0,0,10000,0,0,0,0,0,,0,,0,0,0,0,,0,,6,20,2,500,,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,4,0,0,240,730.5,,,,,1,240,,,500,,500,500,,120000,120000,,10000,,10000,12000,15000,,10000,,,120000,7
HID101147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
HID101152,1,1,0,,60,1,0,20,0,,0,15,25,15000,0,0,17,0,0,,1,0,0,0,0,0,,0,,,,,,,0,1,0,0,0,1,0,0,0,0,20,57,-37,97,.20618556,.58762884,-.38144329,117,.12820514,0,,,,,,,,,,,,,,800,,,,,14000,15000,,16000,34500,862500,15000,27000,459000,1321500,1,3,0,,26,1,0,0,0,,0,0,0,10000,0,0,10,0,0,,1,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,1,1,0,0,0,0,10,-10,36,0,.27777779,-.27777779,36,0,0,,,,,,,,,,,,,,500,,,,,10000,,10000,12000,15000,,10000,20000,200000,200000,1
HID101200,1,1,0,,20,1,0,12,0,,0,10,0,17000,0,0,8,0,0,,1,0,0,0,0,0,,0,,,,,,,0,1,0,0,0,1,0,0,0,0,12,18,-6,26,.46153846,.69230771,-.23076923,38,.2631579,0,,,,,,,,,,,800,,,800,,,,,17000,,17000,16000,39100,,17000,22100,176800,176800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
HID101213,2,3,0,,7,1,0,6,2,23000,0,2,0,17000,0,0,3,0,0,,1,0,0,0,0,0,,0,,,,,,46000,1,0,0,0,0,1,1,0,0,2,8,5,3,4,2,1.25,.75,12,.16666667,0,,,,,,,,,,,800,,,800,,,,,17000,,17000,16000,39100,,17000,21250,63750,63750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
HID101260,2,3,0,,100,1,0,40,0,,0,30,30,15000,0,0,20,0,0,,0,,0,0,0,0,,0,,,,,,,1,1,0,0,0,1,1,0,0,0,40,80,-40,140,.2857143,.5714286,-.2857143,180,.16666667,0,,,,,,,,,,,,,,800,,,,,16000,15000,,16000,34500,1035000,15000,22500,450000,1485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
HID101624,1,3,0,,20,1,0,10,0,,0,5,0,15000,0,3,5,0,0,,1,0,0,0,0,0,,0,,,,,,,0,0,0,0,1,1,1,0,0,0,10,13,-3,23,.43478259,.56521738,-.13043478,33,.15151516,0,,,,,,,,,,,,,,800,,,,,15000,,15000,16000,34500,,15000,18000,90000,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
HID101636,1,3,0,,25,1,0,20,0,,0,10,0,15000,3,0,5,0,1,1,1,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,1,1,0,0,0,20,18,2,23,.86956519,.78260869,.086956523,43,.23255815,0,,,,,,,,,,,800,,,800,,,,,15000,,15000,16000,34500,,15000,27000,135000,135000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
HID101774,1,1,0,,4,1,0,15,0,,0,10,4,15000,0,0,3,0,0,,0,,0,0,0,0,,0,,,,,,,0,1,0,0,0,1,0,0,0,0,15,17,-2,6,2.5,2.8333333,-.33333334,21,.47619048,0,,,,,,,,,,,,,,800,,,,,17000,15000,,16000,34500,138000,15000,18000,54000,192000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
HID101937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
HID102011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
HID102100,1,3,0,,45,1,0,20,0,,6,15,0,16000,0,5,15,0,0,,1,0,0,0,0,0,,0,,,,,,,0,0,0,0,1,1,1,0,0,6,26,35,-9,54,.48148149,.64814812,-.16666667,80,.1875,0,,,,,,,,,,,,,,800,,,,,16000,,16000,16000,36800,,16000,32000,480000,480000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
HID102181,2,3,0,,7,1,0,10,0,,0,7,0,17000,0,0,10,0,0,,0,,0,0,0,0,,1,60000,,,,,,1,0,0,0,0,1,1,0,0,0,10,17,-7,14,.71428573,1.2142857,-.5,24,.29166666,0,,,,,,,,,,,,,,800,,,,,17000,,17000,16000,39100,,17000,25500,255000,255000,1,3,0,,9,1,0,19,0,,0,7,0,13000,0,0,15,0,0,,0,,0,0,0,0,,0,,6,22,7,450,,0,0,1,0,0,1,1,0,0,0,19,22,-3,12,1.5833334,1.8333334,-.25,31,.22580644,0,924,2556.75,,,,,1,924,,,450,,450,500,,415800,415800,,13000,,13000,12000,19500,,13000,26000,390000,805800,14
HID102229,2,3,0,,30,1,0,15,0,,0,12,5,14000,0,0,6,0,0,,1,0,0,0,0,0,,0,,,,,,,1,1,0,0,0,1,1,0,0,0,15,23,-8,38,.39473686,.60526317,-.21052632,53,.2264151,0,,,,,,,,,,,,,,800,,,,,14000,14000,,16000,32200,161000,14000,21000,126000,287000,2,3,0,,6,1,0,5,0,,0,4,0,10000,0,0,0,0,0,,1,0,0,0,0,0,,0,,,,,,,1,0,0,0,0,0,1,0,0,0,5,4,1,5,1,.80000001,.2,10,.40000001,0,,,,,,,,,,,,,,500,,,,,10000,,10000,12000,15000,,10000,,,0,22
HID102441,1,3,0,,18,1,0,15,0,,0,0,0,16000,0,0,5,0,0,,1,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,1,1,0,0,0,15,5,10,8,1.875,.625,1.25,23,0,0,,,,,,,,,,,,,,800,,,,,16000,,16000,16000,36800,,16000,32000,160000,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
HID102496,1,3,0,,5,1,0,0,0,,0,5,0,18000,0,0,0,0,0,,1,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,1,0,0,0,0,5,-5,10,0,.5,-.5,10,.5,0,,,,,,,,,,,1000,,,800,,,,,18000,,18000,16000,41400,,18000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
HID102562,1,3,0,,20,1,0,12,0,,0,0,0,18000,0,0,7,0,0,,0,,0,0,0,0,,0,,,,,,,0,0,0,0,0,1,1,0,0,0,12,7,5,15,.80000001,.46666667,.33333334,27,0,0,,,,,,,,,,,1000,,,800,,,,,18000,,18000,16000,41400,,18000,36000,252000,252000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
HID102779,1,3,0,,30,1,0,20,0,,0,15,0,15000,0,0,5,0,0,,0,,0,0,0,0,,0,,,,,,,0,0,0,0,0,1,1,0,0,0,20,20,0,30,.66666669,.66666669,0,50,.30000001,0,,,,,,,,,,,,,,800,,,,,15000,,15000,16000,34500,,15000,18000,90000,90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
HID102839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
HID102877,1,1,0,,10,1,0,15,0,,0,0,5,13000,0,0,5,0,0,,0,,0,0,0,0,,0,,,,,,,0,1,0,0,0,1,0,0,0,0,15,10,5,5,3,2,1,20,0,0,,,,,,,,,,,,,,800,,,,,14000,13000,,16000,29900,149500,13000,19500,97500,247000,1,1,0,,15,1,0,0,0,,0,0,5,10000,0,0,3,0,0,,0,,0,0,0,0,,0,,,,,,,0,1,0,0,0,1,0,0,0,0,0,8,-8,23,0,.34782609,-.34782609,23,0,0,,,,,,,,,,,,,,500,,,,,10000,10000,,12000,15000,75000,10000,30000,90000,165000,1
HID102931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
HID103006,1,3,0,,15,1,0,10,0,,0,30,0,14000,0,0,5,0,0,,1,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,1,1,0,0,0,10,35,-25,40,.25,.875,-.625,50,.60000002,0,,,,,,,,,,,,,,800,,,,,14000,,14000,16000,32200,,14000,18200,91000,91000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
HID103057,1,3,0,,20,1,0,10,0,,0,7,0,17000,0,0,25,0,0,,0,,0,0,0,0,,0,,,,,,,0,0,0,0,0,1,1,0,0,0,10,32,-22,42,.23809524,.76190478,-.52380955,52,.13461539,0,,,,,,,,,,,,,,800,,,,,17000,,17000,16000,39100,,17000,34000,850000,850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
HID103066,2,3,0,,4,1,0,3,0,,0,2,0,18000,0,0,2,0,0,,0,,0,0,0,0,,0,,,,,,,1,0,0,0,0,1,1,0,0,0,3,4,-1,5,.60000002,.80000001,-.2,8,.25,0,,,,,,,,,,,,,,800,,,,,18000,,18000,16000,41400,,18000,27000,54000,54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
HID103140,2,3,0,,33,1,0,14,0,,0,2,0,20000,0,0,6,0,0,,1,0,0,0,1,0,65000,0,,,,,,,1,0,0,0,0,1,1,0,0,0,14,8,6,27,.51851851,.2962963,.22222222,41,.048780486,0,,,,,,,,,,,,,,800,,,,,20000,,20000,16000,46000,,20000,30000,180000,180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
HID103196,1,3,0,,15,1,0,0,0,,0,0,0,16000,0,0,10,0,0,,0,,0,0,0,0,,0,,,,,,,0,0,0,0,0,1,1,0,0,0,0,10,-10,25,0,.40000001,-.40000001,25,0,0,,,,,,,,,,,,,,800,,,,,16000,,16000,16000,36800,,16000,16000,160000,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
HID103225,1,3,0,,10,1,0,8,0,,0,5,0,17000,0,0,0,0,0,,1,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,0,1,0,0,0,8,5,3,7,1.1428572,.71428573,.42857143,15,.33333334,0,,,,,,,,,,,800,,,800,,,,,17000,,17000,16000,39100,,17000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
HID103340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HID103410,1,1,0,,6,1,1,13,0,,0,7,6,18000,0,0,0,0,0,,0,,0,0,0,0,,0,,,,,,,0,1,0,0,0,0,0,0,0,0,13,13,0,6,2.1666667,2.1666667,0,19,.36842105,0,,,,,,,,,,,,,,800,,,,,19000,18000,,16000,41400,248400,18000,,,248400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
