province,hhid,qty_rice_harvested,area_rice_harvested
17,HID116789,0,0
4,HID116889,0,0
24,HID117044,0,0
14,HID117166,6000,1.1
2,HID117174,800,0.24
25,HID117269,720,0.4
17,HID117397,1500,0.7
2,HID117714,16500,9
14,HID117744,0,0
7,HID117824,1070,0.68
7,HID117853,0,0
7,HID118036,2750,1.21
14,HID118073,2500,1.64
10,HID118174,0,0
7,HID118177,1000,0.5
8,HID118288,0,0
25,HID118482,0,0
8,HID118603,0,0
15,HID118622,0,0
7,HID118759,0,0
2,HID118845,18000,4
2,HID119063,0,0
,HID119064,0,0
3,HID119074,1400,0.69
5,HID119102,700,0.15
,HID119117,0,0
25,HID119134,0,0
15,HID119145,800,2
8,HID119343,0,0
21,HID119540,2400,0.4
24,HID119613,0,0
3,HID119701,0,0
8,HID119707,0,0
25,HID119811,0,0
2,HID119850,0,0
25,HID119860,1575,0.5
17,HID119874,6000,3.5
3,HID119895,3900,1.5
7,HID119899,760,0.3
21,HID120023,2100,0.6
2,HID120154,1200,0.5
7,HID120206,0,0
10,HID120345,3000,1.5
14,HID120414,4900,1.71
8,HID120453,0,0
5,HID120487,2400,0.7
1,HID120524,0,0
14,HID120683,1950,0.4
2,HID120947,0,0
18,HID120976,0,0
13,HID121031,4000,6
17,HID121121,0,0
5,HID121348,0,0
7,HID121372,0,0
15,HID121373,800,0.3
13,HID121412,0,0
21,HID121420,1000,0.3
2,HID121476,5525,2
21,HID121521,2000,0.5
17,HID121877,1000,0.43
7,HID121908,50000,7
3,HID121953,0,0
6,HID121972,720,0.3
20,HID121990,0,0
7,HID122035,1100,0.3
6,HID122130,10000,2
1,HID122149,4000,5
14,HID122472,0,0
15,HID122488,550,1.4
8,HID122500,50000,10
4,HID122663,1000,0.5
5,HID122733,0,0
11,HID122787,0,0
17,HID122919,0,0
10,HID122920,2500,2
11,HID122992,2500,1
19,HID123010,0,0
14,HID123179,500,0.75
7,HID123283,2300,1.09
2,HID123382,3000,1
21,HID123527,1000,0.95
6,HID123588,1200,1
22,HID123638,0,0
7,HID123680,1350,0.3
25,HID123685,1200,0.4
3,HID123727,0,0
6,HID123780,0,0
7,HID123794,3600,1
7,HID123797,4365,0.9352
14,HID123830,2500,2.05
6,HID123865,1600,1
7,HID124040,0,0
21,HID124095,10500,1
2,HID124140,0,0
14,HID124200,1700,0.65
18,HID124219,7000,3.5
25,HID124324,1040,0.4
7,HID124360,900,0.23
5,HID124568,688,0.3
2,HID124582,2000,0.7
7,HID124605,7050,2.7
7,HID124616,5000,2.992
14,HID125113,4200,2.42
13,HID125133,16500,10
16,HID125173,2000,1
14,HID125372,0,0
21,HID125435,550,0.24
21,HID125459,2500,0.5
14,HID125469,14040,2.5
25,HID125549,0,0
7,HID125552,400,0.1
10,HID125567,4000,10
13,HID125572,8000,9
6,HID125632,0,0
15,HID125640,2100,2
4,HID125654,5600,1.7109
24,HID125678,0,0
2,HID125683,0,0
17,HID125702,900,1
4,HID125854,1910,0.35
14,HID125929,1500,1
5,HID126001,400,0.3
9,HID126004,0,0
20,HID126037,8500,3
5,HID126115,500,0.24
20,HID126274,15000,2.7
6,HID126560,240,0.5
6,HID126607,1800,0.4
7,HID126875,600,0.2
25,HID126903,0,0
2,HID127043,14000,7
12,HID127182,0,0
25,HID127264,2000,0.7
8,HID127325,0,0
14,HID127342,1200,0.3
12,HID127537,0,0
5,HID127713,1000,0.5
14,HID127761,4800,0.9
21,HID127874,3000,0.74
17,HID127926,2500,1
1,HID127981,0,0
13,HID128062,1000,0.5
25,HID128093,1800,0.5
1,HID128191,2000,1
7,HID128233,3000,2.3
14,HID128352,1350,0.3
5,HID128462,2000,1.81
20,HID128486,1700,0.43
5,HID128496,3050,1.18
20,HID128578,0,0
14,HID128603,0,0
16,HID128617,900,1
3,HID128632,0,0
6,HID128685,0,0
14,HID128697,3800,1.4
21,HID128773,1040,0.39
21,HID128791,78000,3.78
4,HID128989,0,0
7,HID129242,1740,0.91
8,HID129327,0,0
15,HID129339,2450,1.9
10,HID129376,1500,1.7
2,HID129395,10000,3
8,HID129495,7500,1.3
4,HID129595,600,0.5
8,HID129600,7950,2.5
19,HID129665,320,1
1,HID129788,0,0
4,HID129804,2800,1.18
4,HID129856,1260,0.3999
4,HID130039,30000,4.2
14,HID130098,18000,2.55
14,HID130104,0,0
4,HID130165,400,0.35
15,HID130174,750,0.4
1,HID130208,0,0
6,HID130216,10000,3
21,HID130238,700,0.05
14,HID130257,960,0.4
21,HID130357,420,0.25
2,HID130712,0,0
1,HID130813,2000,1
17,HID130830,1500,0.9
2,HID130838,5000,0.66
8,HID130860,600,0.2
17,HID131059,6000,1
15,HID131233,1500,0.8
25,HID131253,1500,0.8
12,HID131255,0,0
8,HID131297,0,0
3,HID131367,2000,1.2
20,HID131391,2200,4
17,HID131476,8000,1.7
,HID131481,1250,0.8
21,HID131524,250,0.14
2,HID131577,2000,1
9,HID131625,0,0
2,HID131660,1500,0.5
20,HID131683,3500,0.75
17,HID131959,0,0
10,HID132027,0,0
25,HID132099,2000,0.95
5,HID132118,2000,1.17
25,HID132326,0,0
7,HID132405,4500,2.3853
20,HID132464,0,0
2,HID132468,0,0
3,HID132476,150,0.1
2,HID132734,1000,2
7,HID132754,450,0.1
8,HID132779,0,0
21,HID132902,1000,0.5
21,HID132919,490,0.3
10,HID133075,0,0
7,HID133163,3000,1
8,HID133182,2500,1
14,HID133362,4750,1.55
6,HID133374,0,0
17,HID133384,1500,1.5
16,HID133542,800,1
3,HID133671,0,0
17,HID133815,0,0
13,HID133823,4500,1.5
5,HID133880,562,0.18
2,HID133882,0,0
15,HID133965,0,0
21,HID134038,480,0.16
6,HID134148,800,0.5
3,HID134359,0,0
20,HID134360,1000,0.5
2,HID134670,2500,3
8,HID134701,0,0
19,HID134757,600,1
14,HID134919,15000,4.5
7,HID134975,500,0.076
4,HID134983,900,0.5
18,HID134999,0,0
14,HID135025,2500,0.6
2,HID135078,18000,4.5
7,HID135197,0,0
1,HID135312,2500,1
2,HID135559,1500,0.48
5,HID135620,6000,1.5
15,HID135665,9000,3
2,HID135681,2090,4
21,HID135703,800,0.38
15,HID135799,3000,0.5
7,HID135808,1500,0.5
17,HID135853,2050,2
1,HID135884,4500,2
1,HID135926,5000,2.5
3,HID135956,1300,0.34
14,HID136050,750,2
6,HID136254,0,0
22,HID136278,0,0
1,HID136281,500,0.5
20,HID136309,1000,0.4
14,HID136315,2500,0.75
17,HID136319,2000,2
13,HID136501,1700,2
7,HID136563,2200,1.4
21,HID136623,200,0.05
7,HID136650,1200,0.5
7,HID136912,0,0
8,HID136959,0,0
21,HID136972,7000,1.8
8,HID137047,0,0
3,HID137050,1300,1.5
6,HID137076,1400,0.5
14,HID137095,0,0
15,HID137139,630,0.5
14,HID137152,1500,0.3
2,HID137376,0,0
14,HID137403,0,0
1,HID137565,1500,0.72
9,HID137620,0,0
8,HID137641,12500,2.5
14,HID137680,2800,1
14,HID137736,5000,1.565
5,HID137754,1200,0.33
1,HID137761,0,0
8,HID137777,0,0
22,HID137827,3920,2
14,HID137883,18000,2
5,HID138000,700,0.5
9,HID138046,0,0
14,HID138069,1500,1.5
21,HID138108,0,0
15,HID138210,1250,1.75
,HID138246,0,0
23,HID138391,0,0
21,HID138527,1800,0.648
25,HID138655,0,0
2,HID138680,0,0
14,HID138683,4000,0.5
13,HID138781,0,0
14,HID138784,1200,0.3
21,HID138947,250,0.08
14,HID139170,0,0
4,HID139180,0,0
14,HID139271,200,0.2
15,HID139418,0,0
5,HID139442,0,0
3,HID139599,700,0.5
6,HID139793,28000,8
2,HID139900,6000,3.5
17,HID140000,0,0
5,HID140305,3300,0.7
3,HID140349,6000,2.5
21,HID140448,1200,0.4
25,HID140491,0,0
2,HID140622,40000,10.3
8,HID140625,5000,1.28
3,HID140627,910,0.28
23,HID140629,1100,0.405
25,HID140732,1500,0.5
4,HID140857,2400,0.9
13,HID141006,8000,5
21,HID141056,2000,0.3
1,HID141080,750,1
1,HID141096,13000,5
14,HID141102,3120,0.77
6,HID141106,0,0
10,HID141224,0,0
8,HID141302,12000,1
5,HID141328,2400,0.5
7,HID141403,825,0.25
7,HID141462,0,0
20,HID141530,400,0.2
19,HID142161,0,0
23,HID142283,0,0
2,HID142308,0,0
10,HID142325,1000,0.47
7,HID142530,1815,0.778
2,HID142596,0,0
2,HID142616,0,0
3,HID142739,14000,2.5
6,HID142772,870,6
8,HID142807,12000,2
14,HID142836,0,0
8,HID142858,0,0
21,HID142869,1250,1
4,HID143056,2500,2.5
8,HID143096,0,0
17,HID143146,3000,1.5
8,HID143161,2000,0.4
5,HID143170,0,0
2,HID143304,0,0
20,HID143360,0,0
5,HID143377,1500,0.7
22,HID143455,7680,2.5
7,HID143478,420,0.17
4,HID143566,2000,0.6
14,HID143606,12250,4
22,HID143619,2000,3.25
25,HID143646,0,0
6,HID143715,9000,9
5,HID143834,15000,2
5,HID143927,750,0.4
17,HID144083,900,1
8,HID144298,0,0
5,HID144302,2200,1
21,HID144313,4500,0.58
7,HID144315,2100,0.935
18,HID144332,0,0
2,HID144343,2000,2.8
15,HID144358,40000,10
2,HID144414,31000,5
21,HID144449,10000,3.8
15,HID144477,500,0.5
19,HID144559,0,0
13,HID144621,2280,2
14,HID144632,4000,0.9
14,HID144803,2000,0.7
1,HID144881,2000,1
21,HID144965,420,0.104
15,HID145062,260,1.4
3,HID145344,0,0
14,HID145345,6660,3.95
7,HID145366,1780,0.57
21,HID145370,1800,0.42
21,HID145443,2000,0.3675
6,HID145546,7000,2
8,HID145702,3500,2
6,HID145933,8000,4.1
19,HID145942,2500,1
5,HID146091,500,1.02
17,HID146460,0,0
3,HID146542,375,0.3
3,HID146552,3000,1
10,HID146662,0,0
6,HID146672,0,0
3,HID146691,1000,0.8
17,HID146904,1800,1.3
25,HID146985,0,0
9,HID147043,1600,0.5
5,HID147069,1850,0.88
8,HID147295,600,0.2
20,HID147374,1000,0.5
4,HID147441,300,0.1
20,HID147557,3500,3
5,HID147746,1150,0.5
2,HID147761,9000,4
17,HID148023,1000,1
6,HID148045,0,0
1,HID148048,4000,0.95
25,HID148055,4200,2
25,HID148224,0,0
6,HID148297,6000,4
25,HID148327,0,0
2,HID148335,0,0
22,HID148376,5600,6
9,HID148438,0,0
1,HID148449,5500,1.64
25,HID148514,600,0.5
17,HID148553,2000,3
7,HID148686,385,0.2021
2,HID149084,0,0
9,HID149249,520,0.3
8,HID149306,0,0
17,HID149343,0,0
7,HID149380,900,0.54
12,HID149518,1650,0.36
8,HID149527,6900,1
14,HID149537,0,0
12,HID149634,200,0.4
5,HID149644,2050,1
18,HID149739,0,0
17,HID149806,8000,2
20,HID149870,5010,2
3,HID149980,0,0
1,HID150063,7000,7
5,HID150076,5000,2
25,HID150116,3000,2
25,HID150129,7000,2.7
20,HID150155,3500,1
22,HID150161,12000,7
15,HID150189,12000,10
21,HID150215,13500,1.5
1,HID150225,0,0
21,HID150268,7200,1.2
17,HID150410,8000,4
5,HID150518,1300,0.35
25,HID150585,1000,0.4
8,HID150604,800,0.16
21,HID150674,2500,0.8
20,HID150755,600,0.7
7,HID151037,550,0.3
19,HID151134,0,0
8,HID151293,0,0
14,HID151308,2500,0.34
2,HID151379,0,0
14,HID151394,4500,1.9
6,HID151421,1360,0.52
17,HID151473,0,0
5,HID151536,2100,0.5
12,HID151634,0,0
17,HID151682,0,0
17,HID151807,5000,1
5,HID151818,1000,0.68
20,HID151850,850,0.75
3,HID151889,0,0
25,HID151960,0,0
10,HID152008,0,0
14,HID152040,0,0
5,HID152075,3950,1.3
15,HID152095,600,0.24
3,HID152241,0,0
2,HID152378,2850,0.5
6,HID152769,800,0.5
19,HID152815,500,0.2
8,HID152890,0,0
18,HID152981,0,0
24,HID152998,0,0
5,HID153004,1760,0.48
1,HID153136,0,0
5,HID153165,4600,1.92
12,HID153219,500,0.4
15,HID153245,3000,2
14,HID153278,1000,0.5
7,HID153452,2440,1.11
25,HID153515,1000,0.46
14,HID153705,2000,0.5
15,HID153798,3000,1.3
4,HID153816,3000,1.3
21,HID153961,0,0
17,HID153965,1000,0.5
5,HID154012,1300,0.5
25,HID154057,1500,1.6
5,HID154167,2300,1.2
2,HID154242,1000,0.5
5,HID154318,0,0
14,HID154337,1500,1.5
6,HID154348,0,0
5,HID154450,750,0.37
8,HID154480,70,0.07
17,HID154548,800,0.5
21,HID154569,5000,0.7
7,HID154719,3000,1.5
8,HID154723,0,0
16,HID154778,3000,4
14,HID154835,100,0.27
10,HID154876,550,0.1
5,HID154906,450,0.5
5,HID154938,1200,1
8,HID155008,160,0.08
9,HID155294,0,0
7,HID155301,1900,1.16
7,HID155339,1950,1.2
21,HID155363,13000,1
21,HID155447,11000,1.1
2,HID155549,1530,0.32
17,HID155664,0,0
4,HID155733,8500,1.64
17,HID155741,400,0.3
6,HID155761,5000,4
14,HID155775,800,0.5
3,HID155797,700,0.5
21,HID155840,5410,1.65
4,HID156103,760,0.44
18,HID156193,0,0
12,HID156256,0,0
1,HID156307,4000,2
2,HID156376,75725,21.891
14,HID156433,10000,3
8,HID156574,15000,3
15,HID156646,1000,1.32
3,HID156668,0,0
15,HID156752,13000,7
7,HID156803,2300,0.6
20,HID156812,1000,0.24
8,HID156915,4900,0.7
6,HID156948,0,0
,HID157190,1290,1.8
3,HID157223,25,0.25
1,HID157257,0,0
21,HID157400,6000,1
25,HID157426,2000,1
20,HID157480,850,0.5
2,HID157558,0,0
4,HID157617,0,0
7,HID157681,700,0.25
2,HID157690,2000,1
16,HID157703,1800,1.5
18,HID157799,0,0
7,HID157860,3000,1.4
6,HID157879,0,0
20,HID157927,0,0
21,HID157999,180,0.17
2,HID158042,7000,3
25,HID158144,0,0
14,HID158564,4000,0.72
20,HID158567,20000,2.5
17,HID158580,5000,4
9,HID158757,0,0
15,HID158879,0,0
15,HID158936,1500,0.85
17,HID158940,0,0
,HID158985,800,0.6
21,HID159041,630,0.21
14,HID159049,420,0.35
5,HID159066,1000,0.18
4,HID159218,850,0.55
6,HID159376,0,0
3,HID159533,4000,1.6
14,HID159537,10000,2.5
8,HID159618,800,0.3
3,HID159706,0,0
13,HID159726,8000,5
8,HID159775,0,0
14,HID159829,2000,1
5,HID159836,2500,0.9
20,HID159918,1500,0.1
6,HID160263,1885,0.68
5,HID160393,3450,1.5
3,HID160499,630,0.6
16,HID160769,1200,0.5
8,HID160778,24000,3
2,HID160857,13000,4
21,HID160901,500,0.2
10,HID160966,5000,2
3,HID161039,0,0
17,HID161241,6000,4
21,HID161303,1000,0.45
3,HID161358,0,0
7,HID161368,2950,2.1
8,HID161385,0,0
24,HID161417,0,0
2,HID161462,0,0
14,HID161510,1000,3
6,HID161522,400,0.4
7,HID161540,1000,0.31
20,HID161621,500,0.4
17,HID161645,4000,2.3
19,HID161682,0,0
10,HID161705,0,0
2,HID161734,0,0
7,HID162030,1000,0.55
21,HID162380,2500,0.8423
14,HID162385,0,0
3,HID162390,5800,2
10,HID162463,1300,0.5
17,HID162587,1800,1
14,HID162781,2000,0.63
8,HID162786,0,0
8,HID162808,300,0.26
5,HID162817,1300,0.5
21,HID162877,6000,1.1
15,HID163002,1000,0.65
6,HID163087,0,0
3,HID163289,0,0
14,HID163368,800,0.6
4,HID163391,0,0
3,HID163426,0,0
15,HID163456,1000,0.45
2,HID163479,8400,3.52
3,HID163530,12000,3
17,HID163647,3500,2.5
8,HID163677,2600,0.5
14,HID163897,5000,1.5
5,HID163929,1500,0.5
21,HID163950,4500,2.65
8,HID163978,0,0
2,HID164140,3870,1.6
14,HID164203,3000,1
4,HID164242,3000,1.5
2,HID164264,0,0
9,HID164478,0,0
6,HID164604,0,0
7,HID164640,2750,0.77
21,HID164796,0,0
21,HID164986,920,0.35
25,HID165064,900,0.3
8,HID165234,2000,0.4
15,HID165292,1000,1.5
8,HID165356,600,0.3
7,HID165358,1200,0.3
21,HID165389,800,0.37
22,HID165418,3000,2
17,HID165486,2500,2.5
1,HID165554,0,0
3,HID165562,0,0
8,HID165665,1000,0.5
19,HID165789,3300,2
16,HID165949,0,0
15,HID166065,3000,1.8
1,HID166342,0,0
15,HID166350,0,0
10,HID166553,0,0
2,HID166572,0,0
10,HID166700,0,0
10,HID166765,5000,2.5
17,HID166925,700,0.5
17,HID166986,5000,2.5
6,HID167033,0,0
25,HID167081,0,0
14,HID167082,0,0
3,HID167194,2000,0.905
15,HID167251,800,0.9
5,HID167263,500,0.1
25,HID167360,0,0
25,HID167423,1610,0.5
3,HID167451,0,0
7,HID167507,900,0.22
4,HID167616,900,1
20,HID167689,700,0.5
17,HID167777,6000,3
8,HID167794,0,0
25,HID167879,0,0
8,HID167950,0,0
14,HID168045,5000,1.3
17,HID168114,0,0
10,HID168128,0,0
17,HID168527,0,0
6,HID168544,3000,1.7
14,HID168698,1950,0.7
17,HID168964,30000,10
20,HID169164,0,0
7,HID169176,3000,1
4,HID169206,7000,1.5
1,HID169208,2500,0.5
4,HID169363,5000,2.5
21,HID169368,350,0.35
14,HID169625,2000,0.7
5,HID170067,0,0
25,HID170104,1000,0.5
7,HID170116,8000,1.8499
7,HID170183,500,0.12
14,HID170191,600,1.3
25,HID170201,1000,0.5
17,HID170356,0,0
6,HID170443,6000,1.15
7,HID170493,0,0
3,HID170506,480,0.15
8,HID170589,0,0
14,HID170794,600,0.45
7,HID170955,1500,0.6
14,HID170973,600,0.2
3,HID171040,2800,1.5
15,HID171299,4000,3.7
16,HID171315,0,0
21,HID171325,20000,4
7,HID171326,1100,0.75
19,HID171439,5100,3
6,HID171629,0,0
7,HID171634,700,0.79
9,HID171687,0,0
11,HID171717,0,0
6,HID171847,0,0
22,HID171870,0,0
14,HID171912,2800,1.35
5,HID172132,1500,0.92
14,HID172176,1500,0.7
4,HID172212,1050,0.3999
17,HID172235,800,0.5
17,HID172269,0,0
17,HID172291,2500,1.5
3,HID172308,0,0
5,HID172536,2000,2
,HID172666,12000,1
7,HID172716,1400,0.67
7,HID172757,100,0.1
5,HID172824,700,0.25
2,HID172924,10000,3
21,HID173025,0,0
17,HID173048,0,0
21,HID173154,500,0.2
15,HID173281,50000,20
2,HID173293,8500,2
13,HID173373,1000,1
25,HID173405,1900,0.95
6,HID173675,4000,1.8
12,HID173738,0,0
20,HID173869,2750,0.899
8,HID173938,0,0
5,HID173948,0,0
21,HID173995,500,0.11
17,HID174206,15000,2.5
14,HID174334,700,0.3
7,HID174341,2000,1.1
5,HID174348,2950,0.9
19,HID174405,0,0
1,HID174497,0,0
3,HID174536,1400,0.43
3,HID174597,0,0
14,HID174622,1500,0.5
17,HID174662,2700,2.5
7,HID174696,2500,0.55
8,HID174748,1450,0.3
2,HID174812,600,0.84
14,HID174838,3000,1.65
14,HID174861,27000,5.45
2,HID174945,4000,4
15,HID175002,3800,2.6
7,HID175015,1500,0.5
1,HID175068,1200,1
1,HID175095,0,0
14,HID175108,1500,0.58
6,HID175198,0,0
25,HID175327,750,0.8
3,HID175334,0,0
25,HID175617,0,0
2,HID175641,5000,2
21,HID175656,1200,0.4
21,HID175832,5000,2.2
2,HID176039,3000,3
4,HID176095,0,0
17,HID176128,0,0
5,HID176467,1000,0.5
17,HID176579,4500,5
21,HID176667,3000,2
15,HID176715,0,0
3,HID176751,5000,0.8
19,HID176794,0,0
8,HID176825,700,0.35
14,HID176902,760,0.2
15,HID176939,0,0
25,HID176957,300,0.18
20,HID176968,2500,1.6
4,HID176999,0,0
15,HID177054,0,0
5,HID177081,400,0.6
6,HID177110,600,3
8,HID177143,1500,0.4
2,HID177181,4500,2
14,HID177269,12000,3
16,HID177328,0,0
21,HID177386,2000,0.6
1,HID177497,0,0
,HID177546,0,0
7,HID177588,935,0.4
21,HID177667,0,0
22,HID177842,0,0
5,HID177949,650,0.22
21,HID177991,13500,0.96
6,HID178019,4040,0.98
9,HID178129,0,0
14,HID178267,60000,10.98
14,HID178276,0,0
17,HID178374,0,0
8,HID178400,0,0
3,HID178494,5000,1.5
7,HID178504,900,0.3
6,HID178509,750,2
8,HID178545,0,0
,HID178682,2800,0.88
,HID178846,0,0
8,HID178859,0,0
14,HID178908,0,0
14,HID178986,3000,1.5
8,HID179116,10000,1.52
8,HID179135,0,0
25,HID179397,0,0
1,HID179417,0,0
25,HID179452,0,0
8,HID179641,0,0
5,HID179800,2100,1
13,HID179888,8000,3.5
2,HID179992,0,0
10,HID180001,0,0
15,HID180145,5000,3.2
17,HID180171,3500,2
15,HID180288,0,0
7,HID180371,10000,1.2
3,HID180381,2030,0.59
7,HID180538,850,0.468
21,HID180748,4000,1.2
14,HID180778,2500,0.75
25,HID180810,0,0
14,HID180882,0,0
4,HID180887,6000,1.4
15,HID181003,1000,0.3
16,HID181088,0,0
3,HID181105,6750,2.25
13,HID181111,3700,3.7
1,HID181195,16000,8
21,HID181203,22000,3.2
1,HID181212,2000,1
6,HID181234,0,0
21,HID181259,1485,0.69
2,HID181366,12000,5
3,HID181431,2000,0.8
5,HID181458,2500,1
14,HID181674,23500,4.7
17,HID181753,500,0.05
17,HID181816,2000,2
20,HID181842,1105,0.4
3,HID181889,0,0
7,HID181948,0,0
3,HID181997,7000,1.95
,HID182046,0,0
4,HID182081,1000,0.5
23,HID182128,0,0
8,HID182143,1200,0.3
5,HID182156,1050,0.42
1,HID182284,2000,1
12,HID182291,1500,0.7
17,HID182437,0,0
11,HID182458,2000,1
9,HID182484,0,0
13,HID182517,540,2
2,HID182580,0,0
10,HID182668,540,0.5
2,HID182782,0,0
14,HID182802,0,0
3,HID182813,900,0.97
6,HID182886,3000,2.15
1,HID182953,2000,1.5
17,HID183088,0,0
8,HID183090,0,0
2,HID183202,12000,1.5
17,HID183282,0,0
21,HID183594,1200,0.61
2,HID183717,5000,3
12,HID183809,0,0
25,HID183867,0,0
12,HID183946,0,0
5,HID184332,4500,1.5
6,HID184334,37500,10
2,HID184341,0,0
1,HID184508,0,0
2,HID184557,7200,2.5
13,HID184558,5000,2
5,HID184647,1920,0.8
14,HID184654,350,0.41
4,HID184672,2000,0.66
5,HID184684,700,0.2
1,HID184716,640,4
1,HID184756,21000,7
14,HID184803,5000,3
6,HID184849,738,0.34
5,HID184874,1050,0.41
6,HID185027,528,0.32
8,HID185080,14000,1.5
17,HID185128,700,0.8
14,HID185157,22000,2
20,HID185168,0,0
15,HID185457,1000,0.65
15,HID185478,8000,2.5
6,HID185517,35000,5.5
7,HID185591,420,0.2
3,HID185593,1400,0.42
15,HID185734,400,0.5
17,HID185973,720,0.5
4,HID186014,5000,1.5
