hhid,fhh,covid_shock,ag_comm,irrigation,drought,flood,extension_training,animal_ded_area,rice,feed_Chickens,feed_Cattle
HID112624,1,2,2,1,1,0,,1,1,1,
HID112689,1,1,2,1,0,0,,1,1,1,
HID112695,1,1,2,1,0,0,,1,1,1,
HID112714,0,1,2,1,0,0,,1,0,1,
HID112719,0,1,2,1,1,0,,1,1,1,
HID112794,0,1,2,,0,0,,1,0,1,
HID112852,0,1,2,1,0,0,,1,1,1,
HID113000,1,1,2,1,0,0,,1,1,2,
HID113021,0,1,2,1,1,0,,1,1,1,
HID113136,0,1,2,,0,0,,1,0,2,
HID113198,0,1,2,1,0,1,,1,1,1,1
HID113262,0,1,2,1,0,0,,1,0,2,
HID113322,1,1,2,0,0,0,,1,1,1,
HID113341,1,1,2,1,0,1,,1,1,1,
HID113359,0,1,2,0,0,0,,1,1,,1
HID113431,0,1,2,1,1,0,,1,1,2,
HID113460,1,1,2,1,0,0,,1,1,1,3
HID113655,0,1,2,1,0,1,,1,0,1,
HID113897,1,1,2,1,0,0,,1,1,1,
HID113952,1,1,2,1,0,0,,1,1,,1
HID113968,0,1,2,1,0,0,,1,1,1,
HID113990,0,1,2,1,1,0,,1,1,1,
HID114080,1,1,2,0,0,0,,1,1,1,
HID114096,0,1,2,1,0,0,,1,1,2,
HID114186,0,2,2,0,0,0,,1,1,2,
HID114252,0,1,2,1,0,0,,1,1,1,
HID114366,0,1,2,1,1,0,,1,1,1,
HID114482,1,1,2,1,0,0,,1,1,1,1
HID114551,0,1,2,1,0,0,,1,1,1,1
HID114611,0,1,2,1,0,0,,1,1,1,
HID114689,0,2,1,0,0,1,,1,1,2,
HID114704,1,1,2,1,0,0,,1,0,1,
HID114730,0,1,2,0,0,0,,0,0,1,
HID114980,0,1,2,,0,0,,1,0,1,
HID115123,0,1,2,,0,0,,1,0,1,
HID115212,0,2,2,1,0,0,,1,1,1,1
HID115257,0,1,2,1,0,0,,1,1,1,
HID115391,0,1,2,1,0,0,,1,1,2,
HID115392,0,1,2,1,0,0,,1,1,2,2
HID115410,0,1,2,1,1,0,,1,1,1,
HID115529,0,2,2,1,0,1,,1,1,1,1
HID115569,0,1,2,1,0,0,,1,1,1,1
HID115584,0,1,2,1,0,0,,1,1,2,
HID115626,0,1,2,1,1,0,,1,0,1,1
HID115627,0,2,2,1,1,0,,1,0,1,
HID115740,1,1,2,1,0,0,,1,1,2,2
HID115743,0,1,2,1,1,0,,1,0,1,
HID115747,0,1,2,1,0,0,,1,1,1,1
HID115854,1,1,2,0,0,0,,1,1,1,
HID115904,1,1,2,1,0,0,,1,0,2,
HID115977,0,2,2,1,1,0,,1,0,,
HID116371,0,1,2,1,1,0,,1,1,1,1
HID116534,0,1,2,1,1,0,,1,1,1,
HID116575,0,2,2,1,0,0,,1,1,2,
HID116661,0,1,2,,0,0,,1,0,1,
HID116789,1,1,2,1,0,0,,1,0,2,
HID116889,0,1,2,1,0,0,,1,0,2,
HID117044,0,1,2,,0,0,,0,0,1,
HID117166,0,1,2,0,0,0,,1,1,1,
HID117174,1,1,2,1,0,0,,1,1,,1
HID117269,0,2,2,0,0,0,,1,1,,1
HID117397,1,1,2,1,0,0,,1,1,1,1
HID117714,0,1,2,1,1,0,,1,1,2,2
HID117744,1,2,2,0,0,0,,0,0,,2
HID117824,0,1,2,1,0,0,,1,1,2,1
HID117853,0,1,2,1,0,0,,1,0,2,2
HID118036,0,1,2,1,0,0,,1,1,1,
HID118073,0,1,2,0,0,0,,1,1,1,1
HID118174,0,1,1,0,0,1,,1,0,1,
HID118177,1,1,2,1,0,0,,1,1,1,
HID118288,0,2,1,0,0,0,,1,0,2,
HID118482,0,2,2,1,0,0,,1,0,1,
HID118603,0,1,2,1,0,0,,1,0,,1
HID118622,0,2,2,1,0,0,,0,0,1,
HID118759,0,1,2,1,0,0,,0,0,1,
HID118845,0,2,2,0,1,1,,1,1,2,
HID119063,0,1,2,1,0,0,,1,0,2,
HID119064,0,1,2,,0,1,,1,0,2,
HID119074,0,1,2,1,1,0,,1,1,1,1
HID119102,0,1,2,1,0,0,,1,1,1,1
HID119117,0,2,2,,1,1,,1,0,3,
HID119134,0,2,2,1,0,0,,1,0,2,
HID119145,0,1,2,1,1,0,,1,1,1,
HID119343,0,1,2,0,0,0,,1,0,1,
HID119540,1,1,2,1,0,0,,1,1,1,1
HID119613,0,1,2,1,1,0,,1,0,2,
HID119701,0,1,2,1,0,0,,1,0,1,
HID119707,1,2,1,0,0,1,,1,0,2,
HID119811,0,1,2,0,0,0,,1,0,2,
HID119850,0,1,2,1,0,0,,1,0,1,1
HID119860,0,2,2,0,0,0,,1,1,,
HID119874,0,1,2,1,1,0,,1,1,2,
HID119895,0,1,2,0,0,1,,1,1,,
HID119899,0,1,2,1,0,0,,1,1,2,
HID120023,0,1,2,0,0,0,,1,1,1,
HID120154,0,2,2,1,1,0,,1,1,2,
HID120206,0,1,2,1,0,0,,0,0,1,
HID120345,1,1,2,1,1,0,,1,1,1,1
HID120414,0,1,2,1,0,1,,1,1,2,
HID120453,1,1,2,1,0,0,,1,0,1,
HID120487,1,1,2,1,0,0,,1,1,1,1
HID120524,0,1,2,,0,0,,1,0,1,
HID120683,0,1,2,0,0,0,,1,1,1,
HID120947,0,1,2,,0,1,,1,0,2,2
HID120976,0,1,2,,0,0,,1,0,1,
HID121031,0,1,2,1,0,1,,1,1,2,
HID121121,1,1,2,1,1,0,,1,0,,
HID121348,0,1,2,1,0,0,,0,1,1,
HID121372,0,1,2,1,0,0,,1,0,2,2
HID121373,1,1,2,1,0,1,,1,1,1,1
HID121412,0,1,2,1,1,0,,1,0,1,1
HID121420,0,1,2,1,0,0,,1,1,1,1
HID121476,0,1,2,1,0,0,,1,1,2,2
HID121521,1,1,2,1,0,0,,1,1,1,
HID121877,0,1,2,1,0,0,,1,1,1,
HID121908,0,1,2,0,0,0,,1,1,1,
HID121953,0,2,2,1,0,0,,1,0,1,
HID121972,0,1,2,1,0,0,,1,1,2,
HID121990,1,1,2,1,0,0,,1,0,1,
HID122035,0,1,2,1,0,0,,1,1,1,1
HID122130,1,1,2,1,0,0,,1,1,1,
HID122149,0,1,2,0,1,0,,1,1,1,
HID122472,0,1,2,0,0,0,,1,0,1,
HID122488,0,1,2,1,0,0,,1,1,1,
HID122500,1,1,2,1,0,0,,1,1,1,1
HID122663,0,1,2,1,0,0,,1,1,1,
HID122733,1,1,2,1,0,0,,1,0,,1
HID122787,0,1,2,1,0,0,,1,0,1,
HID122919,1,1,2,1,0,0,,1,0,2,
HID122920,0,1,2,0,0,0,,1,1,1,
HID122992,0,1,1,0,0,0,,1,1,2,1
HID123010,0,1,2,1,0,0,,1,0,1,
HID123179,0,1,2,0,0,0,,1,1,,1
HID123283,0,1,2,1,0,0,,1,1,2,1
HID123382,0,1,2,1,1,0,,1,1,1,1
HID123527,0,1,2,1,0,0,,1,1,2,1
HID123588,0,1,2,1,1,0,,1,1,1,
HID123638,1,1,2,1,0,0,,0,0,1,
HID123680,1,1,2,1,0,0,,1,1,2,
HID123685,0,1,2,1,0,0,,1,1,1,2
HID123727,0,1,2,1,0,0,,1,0,1,
HID123780,1,1,2,1,0,0,,1,0,1,1
HID123794,0,1,2,1,1,0,,1,1,1,1
HID123797,0,1,2,1,1,0,,1,1,2,1
HID123830,0,1,2,1,0,0,,1,1,1,1
HID123865,1,1,2,1,0,0,,1,1,1,1
HID124040,0,2,2,0,0,0,,1,0,2,1
HID124095,0,1,2,1,0,0,,1,1,1,1
HID124140,0,1,2,1,0,0,,1,0,1,
HID124200,0,1,2,1,1,0,,1,1,1,
HID124219,0,1,2,1,0,0,,0,1,,
HID124324,1,2,2,1,1,0,,1,1,2,
HID124360,0,1,2,1,0,0,,1,1,,1
HID124568,1,1,2,1,0,1,,1,1,1,1
HID124582,0,1,2,1,0,0,,1,1,,2
HID124605,0,1,2,0,0,0,,1,1,1,1
HID124616,0,2,2,1,0,0,,1,1,1,1
HID125113,0,1,2,1,0,0,,1,1,1,1
HID125133,0,1,2,1,0,0,,1,1,1,
HID125173,1,2,2,1,0,0,,1,1,1,
HID125372,1,1,2,,0,0,,1,0,1,
HID125435,0,2,2,1,0,0,,1,1,1,
HID125459,0,1,2,1,0,0,,1,1,2,1
HID125469,0,1,2,0,0,0,,1,1,1,1
HID125549,0,1,2,1,0,0,,1,0,2,
HID125552,0,1,2,1,0,0,,1,1,2,
HID125567,0,1,1,0,0,0,,0,1,,1
HID125572,0,1,2,1,0,0,,1,1,1,1
HID125632,0,1,2,,0,0,,1,0,2,
HID125640,0,2,2,1,1,0,,1,1,1,
HID125654,0,1,2,0,0,0,,1,1,1,
HID125678,0,1,2,1,0,0,,1,0,1,
HID125683,1,1,2,1,0,0,,1,0,1,
HID125702,0,2,2,1,0,1,,1,1,2,
HID125854,1,1,2,0,0,0,,1,1,1,1
HID125929,1,1,2,1,0,0,,1,1,1,
HID126001,1,1,2,1,0,0,,1,1,1,1
HID126004,0,1,2,,0,0,,1,0,1,
HID126037,0,1,2,1,0,0,,1,1,1,
HID126115,0,1,2,1,0,0,,1,1,1,1
HID126274,0,1,2,1,0,0,,1,1,1,
HID126560,0,1,2,1,1,1,,1,1,1,
HID126607,0,1,2,0,0,0,,1,1,1,
HID126875,1,1,2,1,0,0,,1,1,1,
HID126903,0,1,2,1,0,0,,1,0,1,1
HID127043,0,2,2,1,0,0,,1,1,2,2
HID127182,1,1,2,1,0,0,,1,0,2,
HID127264,0,2,2,1,1,0,,1,1,1,
HID127325,0,2,1,0,0,0,,0,0,2,
HID127342,0,1,2,0,0,0,,1,1,1,
HID127537,0,1,2,1,0,0,,1,0,1,
HID127713,1,1,2,1,0,0,,0,1,2,
HID127761,0,1,2,0,0,1,,1,1,2,1
HID127874,0,1,2,1,0,0,,1,1,2,1
HID127926,0,1,2,1,0,0,,0,1,,1
HID127981,0,2,2,1,0,1,,1,0,1,1
HID128062,1,2,2,1,0,0,,1,1,2,
HID128093,0,1,2,1,1,0,,1,1,2,
HID128191,1,1,2,1,1,0,,1,1,1,
HID128233,0,1,2,0,0,0,,1,1,2,
HID128352,1,1,2,0,0,0,,1,1,1,
HID128462,0,1,2,0,0,0,,1,1,2,
HID128486,0,1,2,1,0,0,,1,1,1,
HID128496,0,1,2,1,0,0,,1,1,1,1
HID128578,0,1,2,0,0,0,,1,0,2,
HID128603,1,1,2,,0,0,,1,0,1,
HID128617,0,1,2,1,0,0,,1,1,1,1
HID128632,0,1,2,1,0,0,,1,0,1,1
HID128685,1,1,2,1,0,0,,1,0,1,
HID128697,0,1,2,1,0,0,,1,1,1,1
HID128773,0,1,2,1,0,0,,1,1,1,
HID128791,1,1,2,0,0,1,,1,1,1,1
HID128989,0,1,2,1,0,0,,1,0,1,
HID129242,0,2,2,1,0,0,,1,1,2,1
HID129327,0,1,2,1,0,0,,1,0,1,1
HID129339,0,1,2,1,1,0,,1,1,1,1
HID129376,0,1,2,1,1,0,,1,1,1,
HID129395,1,2,2,0,1,0,,1,1,1,1
HID129495,1,1,2,0,0,0,,1,1,2,
HID129595,0,1,2,1,1,0,,1,1,1,1
HID129600,0,2,1,0,0,1,,1,1,2,
HID129665,0,1,2,1,0,0,,1,1,1,
HID129788,1,1,2,0,0,0,,1,0,1,
HID129804,0,1,2,0,1,0,,1,1,1,1
HID129856,0,1,2,1,0,0,,1,1,1,
HID130039,0,1,2,1,0,0,,1,1,1,1
HID130098,0,1,2,0,0,0,,1,1,1,
HID130104,0,1,2,,0,0,,1,0,2,
HID130165,0,1,2,1,0,0,,1,1,2,2
HID130174,0,1,2,1,1,0,,1,1,1,1
HID130208,0,1,2,1,0,1,,1,0,2,
HID130216,0,1,2,1,1,0,,1,1,1,1
HID130238,0,2,2,0,0,0,,0,1,1,
HID130257,0,1,2,1,0,0,,1,1,1,1
HID130357,0,1,2,1,1,0,,1,1,1,
HID130712,0,2,2,,0,1,,1,0,2,
HID130813,1,1,2,1,0,0,,0,1,1,
HID130830,0,1,2,1,0,0,,1,1,1,
HID130838,0,1,2,1,1,0,,1,1,2,
HID130860,0,1,2,1,0,0,,1,1,1,
HID131059,0,1,2,1,0,0,,1,1,2,2
HID131233,0,1,2,1,0,0,,1,1,1,1
HID131253,0,1,2,1,0,0,,1,1,1,
HID131255,1,1,2,1,0,0,,1,0,1,
HID131297,1,1,2,1,0,0,,1,0,1,
HID131367,0,1,2,0,1,0,,1,1,1,1
HID131391,0,1,2,1,0,0,,1,1,2,1
HID131476,0,1,2,1,0,0,,1,1,2,
HID131481,0,1,2,1,0,1,0,1,1,1,
HID131524,1,1,2,0,0,0,,1,1,2,1
HID131577,0,1,2,1,0,0,,1,1,2,
HID131625,1,1,2,0,0,0,,1,0,1,
HID131660,0,1,2,1,0,0,,0,1,1,1
HID131683,0,1,2,0,0,0,,1,1,1,1
HID131959,0,1,2,0,0,0,,1,0,2,
HID132027,0,1,2,1,0,0,,1,0,,1
HID132099,0,1,2,1,0,0,,1,1,1,
HID132118,1,1,2,1,0,0,,1,1,,1
HID132326,0,1,2,,0,0,,1,0,1,1
HID132405,0,2,2,1,1,0,,0,1,1,1
HID132464,1,1,2,0,0,0,,1,0,1,
HID132468,1,1,2,1,1,0,,1,0,2,
HID132476,0,1,2,1,1,0,,1,1,1,1
HID132734,0,1,2,1,1,0,,1,1,1,2
HID132754,1,1,2,1,0,0,,1,1,2,
HID132779,0,2,2,0,0,0,,1,0,2,
HID132902,1,1,2,1,0,0,,1,1,1,
HID132919,1,1,2,1,0,0,,1,1,,1
HID133075,0,1,2,1,0,0,,1,0,1,
HID133163,0,1,2,0,0,0,,1,1,2,
HID133182,0,1,2,1,0,0,,1,1,1,
HID133362,0,1,2,1,1,0,,1,1,1,1
HID133374,0,1,2,1,0,0,,1,0,1,1
HID133384,0,1,2,1,0,1,,1,1,2,2
HID133542,1,1,2,1,0,0,,1,1,,
HID133671,0,1,2,1,0,0,,1,0,,1
HID133815,0,1,2,1,0,0,,1,0,2,
HID133823,0,1,2,1,1,0,,1,1,,
HID133880,0,1,2,1,0,0,,1,1,1,
HID133882,0,2,2,1,0,1,,1,1,1,
HID133965,0,2,2,1,1,0,,1,0,1,
HID134038,0,1,2,1,0,0,,1,1,1,1
HID134148,0,1,2,1,0,0,,0,1,1,
HID134359,0,1,2,1,0,0,,1,0,1,
HID134360,0,1,2,1,0,0,,1,1,1,1
HID134670,0,1,2,0,0,1,,1,1,,1
HID134701,0,2,1,0,0,1,,1,0,2,
HID134757,1,1,2,1,0,0,,1,1,1,
HID134919,0,1,2,1,0,0,,1,1,1,
HID134975,0,1,2,1,0,0,,1,1,2,
HID134983,1,1,2,0,0,0,,1,1,,1
HID134999,0,1,2,,0,0,,1,0,,
HID135025,1,2,2,0,0,0,,1,1,2,
HID135078,0,1,2,0,1,1,1,1,1,2,
HID135197,0,1,2,0,0,0,,0,0,1,1
HID135312,0,1,1,1,0,0,,1,1,1,
HID135559,0,2,2,0,0,1,,1,1,1,
HID135620,1,1,2,1,0,0,,1,1,,1
HID135665,0,1,2,1,1,0,,1,1,1,
HID135681,0,1,2,1,1,0,,1,1,2,
HID135703,0,1,2,1,0,0,,1,1,,
HID135799,0,1,2,0,1,0,,1,1,1,1
HID135808,1,1,2,1,0,0,,1,1,1,1
HID135853,0,1,2,1,0,0,,0,1,,1
HID135884,0,2,2,1,1,0,,1,1,1,1
HID135926,0,1,2,1,1,0,,1,1,2,
HID135956,0,1,2,0,1,0,,1,1,1,
HID136050,0,1,2,1,1,0,,1,1,1,1
HID136254,1,1,2,,0,0,,1,0,2,
HID136278,0,1,2,1,0,1,,1,0,2,
HID136281,1,1,2,1,1,0,,1,1,1,
HID136309,0,1,2,1,0,0,,1,1,1,1
HID136315,0,1,2,0,0,0,,1,1,1,1
HID136319,0,1,2,1,1,0,,1,1,1,
HID136501,0,2,2,1,1,0,,1,1,,
HID136563,0,1,2,1,0,0,,1,1,2,2
HID136623,1,1,2,1,0,0,,0,1,1,
HID136650,0,1,2,1,0,0,,1,1,2,1
HID136912,1,2,2,1,0,1,,1,0,2,
HID136959,1,2,2,1,0,1,,1,0,1,
HID136972,0,1,2,1,0,0,,1,1,1,1
HID137047,0,1,2,1,0,0,,1,0,3,
HID137050,0,1,2,1,0,0,,1,1,1,
HID137076,1,1,2,1,0,0,,1,1,1,
HID137095,0,1,2,0,0,0,,1,0,1,
HID137139,0,1,2,1,1,0,,1,1,1,
HID137152,1,1,2,0,0,0,,1,1,1,1
HID137376,0,2,2,1,0,0,,1,0,2,
HID137403,0,1,2,1,0,0,,1,0,,1
HID137565,0,2,2,1,1,1,,1,1,2,
HID137620,0,1,2,,0,0,,1,0,2,
HID137641,0,2,2,0,0,0,,1,1,1,1
HID137680,0,1,2,1,0,1,,1,1,1,1
HID137736,0,1,2,0,0,0,,1,1,1,1
HID137754,1,1,2,1,0,0,,1,1,1,
HID137761,1,2,2,1,1,1,,1,0,2,
HID137777,0,1,2,0,0,0,,1,0,1,
HID137827,1,2,2,1,0,1,,1,1,1,
HID137883,0,2,2,0,1,0,,1,1,1,1
HID138000,1,1,2,1,0,0,,1,1,1,1
HID138046,1,1,2,1,0,0,,1,0,2,
HID138069,1,1,2,0,0,0,,1,1,,1
HID138108,0,1,2,,0,0,,1,0,1,
HID138210,0,1,2,1,1,0,,1,1,1,1
HID138246,0,2,2,1,0,0,,1,0,,1
HID138391,1,1,2,1,0,0,,1,0,1,
HID138527,0,1,2,1,0,0,,1,1,1,
HID138655,1,1,2,0,0,0,,1,0,1,
HID138680,0,1,2,1,0,0,,1,0,2,2
HID138683,1,1,2,0,0,0,,1,1,1,
HID138781,1,2,2,1,0,0,,1,0,1,
HID138784,1,1,2,0,0,0,,1,1,1,
HID138947,1,1,2,1,0,0,,1,1,1,
HID139170,1,1,2,1,0,0,,1,0,1,
HID139180,1,1,2,0,0,0,,1,0,1,
HID139271,1,1,2,0,0,0,,1,1,1,
HID139418,1,1,2,1,1,0,,1,0,1,
HID139442,1,1,2,1,0,0,,1,0,1,
HID139599,0,1,2,1,1,0,,1,1,1,1
HID139793,0,1,2,1,1,0,,0,1,,1
HID139900,0,2,2,1,0,1,,1,1,1,1
HID140000,0,1,2,1,0,1,,1,0,2,1
HID140305,0,1,2,1,0,0,,1,1,1,
HID140349,0,1,2,0,0,0,,1,1,2,1
HID140448,0,1,1,1,0,0,,1,1,2,1
HID140491,1,2,2,,0,0,,1,0,1,
HID140622,0,1,2,1,0,0,,1,1,2,2
HID140625,1,1,2,0,0,0,,1,1,,1
HID140627,1,1,2,1,1,0,,1,1,,1
HID140629,1,1,2,1,0,0,,1,1,1,
HID140732,0,1,2,0,0,0,,1,1,,1
HID140857,0,1,2,1,1,0,,1,1,1,1
HID141006,0,2,2,1,1,0,,1,1,1,1
HID141056,1,1,2,1,0,0,,1,1,1,
HID141080,0,1,2,1,0,0,,1,1,1,
HID141096,0,1,2,1,0,0,,1,1,1,1
HID141102,0,1,2,1,0,0,,1,1,1,1
HID141106,1,1,2,1,0,0,,1,0,1,1
HID141224,0,1,2,0,0,0,,1,0,1,
HID141302,0,2,2,0,0,1,,1,1,2,1
HID141328,1,1,2,1,0,0,,1,1,1,
HID141403,0,1,2,1,0,0,,1,1,1,1
HID141462,0,1,2,,0,0,,1,0,1,
HID141530,0,1,2,1,0,0,,1,1,2,
HID142161,0,1,2,1,0,0,,1,0,1,
HID142283,0,1,2,1,0,0,,1,0,2,
HID142308,1,1,2,1,0,0,,1,0,2,
HID142325,1,1,2,1,0,0,,1,1,1,
HID142530,1,1,2,1,0,0,,1,1,1,
HID142596,0,1,2,,0,0,,1,0,2,2
HID142616,1,2,2,1,1,0,,1,0,1,1
HID142739,0,1,2,1,0,0,,1,1,2,
HID142772,0,1,2,1,1,0,,1,1,1,1
HID142807,0,1,2,1,0,0,,1,1,1,
HID142836,0,1,2,0,0,0,,1,0,1,1
HID142858,0,2,2,0,0,0,,1,0,1,
HID142869,0,1,2,1,0,0,,1,1,1,1
