hhid,feed_Chickens,main_purpose_Chickens,form_contract_Chickens,contract_coverage_Chickens,num_Chickens,own_all_Chickens,own_off_holding_Chickens,births_Chickens,bought_Chickens,purchase_price_Chickens,received_Chickens,deaths_Chickens,sold_Chickens,sale_ppkg_Chickens,stolen_Chickens,gift_Chickens,slghtr_Chickens,meat_sold_Chickens,meat_stock_Chickens,meat_stock_purpose_Chickens,breeding_Chickens,breeding_cost_Chickens,vax_Chickens,num_vax_Chickens,trt_int_parasite_Chickens,trt_ext_parasite_Chickens,trt_vax_spending_Chickens,cur_trt_Chickens,cur_trt_spending_Chickens,months_eggs_collected_Chickens,days_month_eggs_collect_Chickens,daily_avg_egg_prod_Chickens,egg_price_Chickens,purchase_spending_Chickens,provision_feed_Chickens,for_sale_live_Chickens,for_eggs_Chickens,for_gift_Chickens,for_meat_Chickens,for_hh_consum_Chickens,for_savings_Chickens,for_breeding_Chickens,growth_Chickens,loss_Chickens,net_growth_Chickens,num_2020_Chickens,growth_pct_Chickens,loss_pct_Chickens,net_growth_pct_Chickens,mortality_rt_Chickens,vax_pct_Chickens,eggs_total_prod_Chickens,eggs_prod_annualized_Chickens,eggs_lost_pct_Chickens,eggs_kept_pct_Chickens,eggs_kept_Chickens,eggs_lost_Chickens,eggs_own_consump_pct_Chickens,eggs_own_consump_Chickens,eggs_sold_pct_Chickens,eggs_sold_Chickens,egg_price_prov_med_Chickens,egg_price_obs_Chickens,egg_price_impt_Chickens,egg_price_natl_med_Chickens,eggs_value_lost_Chickens,eggs_value_cultiv_Chickens,eggs_value_consump_Chickens,eggs_revenue_Chickens,ppkg_prov_med_Chickens,sale_ppkg_obs_Chickens,sale_ppkg_impt_Chickens,ppkg_natl_med_Chickens,sale_price_Chickens,sale_revenue_Chickens,slghtr_ppkg_Chickens,slghtr_value_Chickens,prod_value_Chickens,area_Chickens,productivity_Chickens,yield_Chickens,feed_Ducks,main_purpose_Ducks,form_contract_Ducks,contract_coverage_Ducks,num_Ducks,own_all_Ducks,own_off_holding_Ducks,births_Ducks,bought_Ducks,purchase_price_Ducks,received_Ducks,deaths_Ducks,sold_Ducks,sale_ppkg_Ducks,stolen_Ducks,gift_Ducks,slghtr_Ducks,meat_sold_Ducks,meat_stock_Ducks,meat_stock_purpose_Ducks,breeding_Ducks,breeding_cost_Ducks,vax_Ducks,num_vax_Ducks,trt_int_parasite_Ducks,trt_ext_parasite_Ducks,trt_vax_spending_Ducks,cur_trt_Ducks,cur_trt_spending_Ducks,months_eggs_collected_Ducks,days_month_eggs_collect_Ducks,daily_avg_egg_prod_Ducks,egg_price_Ducks,purchase_spending_Ducks,provision_feed_Ducks,for_sale_live_Ducks,for_eggs_Ducks,for_gift_Ducks,for_meat_Ducks,for_hh_consum_Ducks,for_savings_Ducks,for_breeding_Ducks,growth_Ducks,loss_Ducks,net_growth_Ducks,num_2020_Ducks,growth_pct_Ducks,loss_pct_Ducks,net_growth_pct_Ducks,mortality_rt_Ducks,vax_pct_Ducks,eggs_total_prod_Ducks,eggs_prod_annualized_Ducks,eggs_lost_pct_Ducks,eggs_kept_pct_Ducks,eggs_kept_Ducks,eggs_lost_Ducks,eggs_own_consump_pct_Ducks,eggs_own_consump_Ducks,eggs_sold_pct_Ducks,eggs_sold_Ducks,egg_price_prov_med_Ducks,egg_price_obs_Ducks,egg_price_impt_Ducks,egg_price_natl_med_Ducks,eggs_value_lost_Ducks,eggs_value_cultiv_Ducks,eggs_value_consump_Ducks,eggs_revenue_Ducks,ppkg_prov_med_Ducks,sale_ppkg_obs_Ducks,sale_ppkg_impt_Ducks,ppkg_natl_med_Ducks,sale_price_Ducks,sale_revenue_Ducks,slghtr_ppkg_Ducks,slghtr_value_Ducks,prod_value_Ducks,area_Ducks,productivity_Ducks,yield_Ducks,weight,province,fhh,covid_shock,ag_comm,livestock_area,rice,area_rice_harvested,area_rice_planted,qty_rice_harvested,qty_rice_own_use,qty_rice_sale,qty_rice_gift,qty_rice_pay,qty_rice_feed,qty_rice_seed,qty_rice_lost,qty_rice_processed,irrigation,drought,flood,extension_training
HID101040,1,3,0,,38,1,0,25,0,,0,6,0,20000,0,0,18,0,0,,0,,0,0,0,0,,0,,,,,,,0,0,0,0,1,1,0,0,25,24,1,37,.67567569,.64864862,.027027028,.096774191,0,,,,,,,,,,,,,,800,,,,,20000,,20000,16000,46000,0,20000,504000,504000,.0012159999,414473696,31250.002,1,3,0,,12,1,0,10,0,,0,0,0,12000,0,0,6,0,0,,0,,0,0,0,0,,0,,,,,,,0,0,0,0,1,1,0,0,10,6,4,8,1.25,.75,.5,0,0,,,,,,,,,,,,,,500,,,,,12000,,12000,12000,18000,0,12000,100800,100800,.00038399998,262500016,31250.002,49.5545025517597,23,1,1,2,.0015999999595806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HID101076,1,3,0,,20,1,0,10,0,,0,5,0,18000,0,0,5,0,0,,0,,0,0,0,0,,0,,,,,,,0,0,0,0,1,1,0,0,10,10,0,20,.5,.5,0,.16666667,0,,,,,,,,,,,1000,,,800,,,,,18000,,18000,16000,41400,0,18000,117000,117000,.00033333336,350999968,59999.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.77162603974,7,0,1,2,.0020000000949949,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
HID101086,1,1,0,,200,1,0,0,0,,0,165,10,13500,10,0,0,0,0,,1,0,0,0,0,0,,0,,,,,,,0,1,0,0,0,0,0,0,0,185,-185,385,0,.48051947,-.48051947,.42857143,0,,,,,,,,,,,,,,800,,,,,15000,13500,,16000,31050,310500,13500,0,310500,,294666656,23365.387,1,1,0,,425,1,0,0,0,,0,45,5,10000,0,0,0,0,0,,1,0,0,0,0,0,,0,,,,,,,0,1,0,0,0,0,0,0,0,50,-50,475,0,.10526316,-.10526316,.094736844,0,,,,,,,,,,,250,,,500,,,,,10000,10000,,12000,15000,75000,10000,0,75000,,319000000,25199.998,43.2166982875522,2,0,2,2,,0,0,,0,,,,,,,,,,0,0,
HID101130,2,3,0,,15,1,0,20,0,,5,0,10,18000,0,0,10,0,1,1,1,0,0,0,0,0,,0,,,,,,,1,1,0,0,1,1,0,0,25,20,5,10,2.5,2,.5,0,0,,,,,,,,,,,1000,,,800,,,,,18000,18000,,16000,41400,414000,18000,270000,684000,.0014227642,480754304,10542.857,1,3,0,,4,1,0,0,0,,0,0,0,10000,0,0,0,0,0,,0,,0,0,0,0,,0,,6,20,2,500,,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,240,730.5,,,,,1,240,,,500,,500,500,,120000,120000,,10000,,10000,12000,15000,0,10000,0,120000,.00037940379,316285728,10542.857,132.237687765352,7,1,1,2,.0350000001490116,1,0,0,8960,3620,5340,0,0,0,0,0,0,1,0,0,
HID101147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.223029052982,25,0,1,2,,0,0,,0,,,,,,,,,1,0,0,
HID101152,1,1,0,,60,1,0,20,0,,0,15,25,15000,0,0,17,0,0,,1,0,0,0,0,0,,0,,,,,,,0,1,0,0,1,0,0,0,20,57,-37,97,.20618556,.58762884,-.38144329,.12820514,0,,,,,,,,,,,,,,800,,,,,14000,15000,,16000,34500,862500,15000,459000,1321500,.00041860467,3156916480,143333.33,1,3,0,,26,1,0,0,0,,0,0,0,10000,0,0,10,0,0,,1,0,0,0,0,0,,0,,,,,,,0,0,0,0,1,1,0,0,0,10,-10,36,0,.27777779,-.27777779,0,0,,,,,,,,,,,,,,500,,,,,10000,,10000,12000,15000,0,10000,200000,200000,.00018139536,1102564096,143333.33,110.924548123329,1,1,1,2,.0006000000284985,1,0,0,16000,6000,10000,0,0,0,0,0,0,1,0,1,
HID101200,1,1,0,,20,1,0,12,0,,0,10,0,17000,0,0,8,0,0,,1,0,0,0,0,0,,0,,,,,,,0,1,0,0,1,0,0,0,12,18,-6,26,.46153846,.69230771,-.23076923,.2631579,0,,,,,,,,,,,800,,,800,,,,,17000,,17000,16000,39100,0,17000,176800,176800,,294666656,23365.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.258876018046,21,0,1,2,,1,0,0,4000,1000,3000,0,0,0,0,0,0,1,0,0,
HID101213,2,3,0,,7,1,0,6,2,23000,0,2,0,17000,0,0,3,0,0,,1,0,0,0,0,0,,0,,,,,,46000,1,0,0,0,1,1,0,0,8,5,3,4,2,1.25,.75,.16666667,0,,,,,,,,,,,800,,,800,,,,,17000,,17000,16000,39100,0,17000,63750,63750,.0015,42500000,4666.6665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5216844839172,21,1,1,2,.0015000000130385,0,0,,0,,,,,,,,,1,1,0,
HID101260,2,3,0,,100,1,0,40,0,,0,30,30,15000,0,0,20,0,0,,0,,0,0,0,0,,0,,,,,,,1,1,0,0,1,1,0,0,40,80,-40,140,.2857143,.5714286,-.2857143,.16666667,0,,,,,,,,,,,,,,800,,,,,16000,15000,,16000,34500,1035000,15000,450000,1485000,.0049999999,297000000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1459677451077,20,0,1,2,.0049999998882413,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
HID101624,1,3,0,,20,1,0,10,0,,0,5,0,15000,0,3,5,0,0,,1,0,0,0,0,0,,0,,,,,,,0,0,0,1,1,1,0,0,10,13,-3,23,.43478259,.56521738,-.13043478,.15151516,0,,,,,,,,,,,,,,800,,,,,15000,,15000,16000,34500,0,15000,90000,90000,.000085106389,1057499904,234999.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.001286794106,17,0,1,2,.0020000000949949,1,0,0,4000,2000,2000,0,0,0,0,0,0,1,0,0,
HID101636,1,3,0,,25,1,0,20,0,,0,10,0,15000,3,0,5,0,1,1,1,0,0,0,0,0,,0,,,,,,,0,0,0,0,1,1,0,0,20,18,2,23,.86956519,.78260869,.086956523,.23255815,0,,,,,,,,,,,800,,,800,,,,,15000,,15000,16000,34500,0,15000,135000,135000,,294666656,23365.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.219652140228,4,0,1,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HID101774,1,1,0,,4,1,0,15,0,,0,10,4,15000,0,0,3,0,0,,0,,0,0,0,0,,0,,,,,,,0,1,0,0,1,0,0,0,15,17,-2,6,2.5,2.8333333,-.33333334,.47619048,0,,,,,,,,,,,,,,800,,,,,17000,15000,,16000,34500,138000,15000,54000,192000,.000051948053,3696000000,77000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.017188434148,14,0,1,2,.0020000000949949,1,0,0,3000,1500,1000,0,0,0,500,0,0,1,0,0,
HID101937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.84960997623,3,0,2,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
HID102011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.454514444185,16,0,2,2,,0,0,,0,,,,,,,,,1,0,0,
HID102100,1,3,0,,45,1,0,20,0,,6,15,0,16000,0,5,15,0,0,,1,0,0,0,0,0,,0,,,,,,,0,0,0,1,1,1,0,0,26,35,-9,54,.48148149,.64814812,-.16666667,.1875,0,,,,,,,,,,,,,,800,,,,,16000,,16000,16000,36800,0,16000,480000,480000,.0046551721,103111120,9666.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5961207082253,20,0,1,2,.0149999996647239,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
HID102181,2,3,0,,7,1,0,10,0,,0,7,0,17000,0,0,10,0,0,,0,,0,0,0,0,,1,60000,,,,,,1,0,0,0,1,1,0,0,10,17,-7,14,.71428573,1.2142857,-.5,.29166666,0,,,,,,,,,,,,,,800,,,,,17000,,17000,16000,39100,0,17000,255000,255000,.000084337356,3023571200,82999.992,1,3,0,,9,1,0,19,0,,0,7,0,13000,0,0,15,0,0,,0,,0,0,0,0,,0,,6,22,7,450,,0,0,1,0,1,1,0,0,19,22,-3,12,1.5833334,1.8333334,-.25,.22580644,0,924,2556.75,,,,,1,924,,,450,,450,500,,415800,415800,,13000,,13000,12000,19500,0,13000,390000,805800,.00010843374,7431266304,82999.992,176.816165405826,14,1,1,2,.0020000000949949,1,0,0,7500,2500,5000,0,0,0,0,0,0,0,0,0,0
HID102229,2,3,0,,30,1,0,15,0,,0,12,5,14000,0,0,6,0,0,,1,0,0,0,0,0,,0,,,,,,,1,1,0,0,1,1,0,0,15,23,-8,38,.39473686,.60526317,-.21052632,.2264151,0,,,,,,,,,,,,,,800,,,,,14000,14000,,16000,32200,161000,14000,126000,287000,,294666656,23365.387,2,3,0,,6,1,0,5,0,,0,4,0,10000,0,0,0,0,0,,1,0,0,0,0,0,,0,,,,,,,1,0,0,0,0,1,0,0,5,4,1,5,1,.80000001,.2,.40000001,0,,,,,,,,,,,,,,500,,,,,10000,,10000,12000,15000,0,10000,0,0,,319000000,25199.998,122.517798858565,22,0,2,2,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
HID102441,1,3,0,,18,1,0,15,0,,0,0,0,16000,0,0,5,0,0,,1,0,0,0,0,0,,0,,,,,,,0,0,0,0,1,1,0,0,15,5,10,8,1.875,.625,1.25,0,0,,,,,,,,,,,,,,800,,,,,16000,,16000,16000,36800,0,16000,160000,160000,.0015,106666664,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.553614629653,3,0,1,2,.0015000000130385,0,0,,0,,,,,,,,,1,0,0,
HID102496,1,3,0,,5,1,0,0,0,,0,5,0,18000,0,0,0,0,0,,1,0,0,0,0,0,,0,,,,,,,0,0,0,0,0,1,0,0,0,5,-5,10,0,.5,-.5,.5,0,,,,,,,,,,,1000,,,800,,,,,18000,,18000,16000,41400,0,18000,0,0,.000024390245,0,204999.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.59285811362,7,0,1,2,.0010000000474975,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
HID102562,1,3,0,,20,1,0,12,0,,0,0,0,18000,0,0,7,0,0,,0,,0,0,0,0,,0,,,,,,,0,0,0,0,1,1,0,0,12,7,5,15,.80000001,.46666667,.33333334,0,0,,,,,,,,,,,1000,,,800,,,,,18000,,18000,16000,41400,0,18000,252000,252000,.0099999998,25200000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5140680180811,8,0,1,2,.0099999997764826,0,0,,0,,,,,,,,,1,0,0,
HID102779,1,3,0,,30,1,0,20,0,,0,15,0,15000,0,0,5,0,0,,0,,0,0,0,0,,0,,,,,,,0,0,0,0,1,1,0,0,20,20,0,30,.66666669,.66666669,0,.30000001,0,,,,,,,,,,,,,,800,,,,,15000,,15000,16000,34500,0,15000,90000,90000,.013953487,6450000.5,2150.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.058905095903,17,0,1,2,,1,0,0,3000,0,3000,0,0,0,0,0,0,1,0,0,
HID102839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.38224422346759,8,1,1,2,.003000000026077,1,0,0,11800,1000,10800,0,0,0,0,0,0,1,0,0,
HID102877,1,1,0,,10,1,0,15,0,,0,0,5,13000,0,0,5,0,0,,0,,0,0,0,0,,0,,,,,,,0,1,0,0,1,0,0,0,15,10,5,5,3,2,1,0,0,,,,,,,,,,,,,,800,,,,,14000,13000,,16000,29900,149500,13000,97500,247000,.000034285717,7204166144,291666.66,1,1,0,,15,1,0,0,0,,0,0,5,10000,0,0,3,0,0,,0,,0,0,0,0,,0,,,,,,,0,1,0,0,1,0,0,0,0,8,-8,23,0,.34782609,-.34782609,0,0,,,,,,,,,,,,,,500,,,,,10000,10000,,12000,15000,75000,10000,90000,165000,.000051428571,3208333312,291666.66,83.6012219311861,1,1,2,2,.0006000000284985,1,0,0,7000,1000,6000,0,0,0,0,0,0,1,0,1,
HID102931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.138590245494,3,0,2,2,.0006000000284985,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
