hhid,feed_Chickens,form_contract_Chickens,contract_coverage_Chickens,num_Chickens,births_Chickens,bought_received_Chickens,deaths_Chickens,sold_Chickens,sale_ppkg_Chickens,stolen_Chickens,gift_Chickens,slghtr_Chickens,num_vax_Chickens,months_eggs_collected_Chickens,days_month_eggs_collect_Chickens,daily_avg_egg_prod_Chickens,egg_price_Chickens,provision_feed_Chickens,for_sale_live_Chickens,for_gift_Chickens,for_meat_Chickens,for_eggs_total_Chickens,for_eggs_sale_Chickens,for_eggs_consump_Chickens,for_eggs_gift_Chickens,for_eggs_other_Chickens,growth_Chickens,loss_Chickens,net_growth_Chickens,num_start_Chickens,growth_pct_Chickens,loss_pct_Chickens,net_growth_pct_Chickens,peak_num_Chickens,mortality_rt_Chickens,vax_pct_Chickens,vax_Chickens,eggs_total_prod_Chickens,eggs_prod_annualized_Chickens,eggs_lost_pct_Chickens,eggs_kept_pct_Chickens,eggs_kept_Chickens,eggs_lost_Chickens,eggs_own_consump_pct_Chickens,eggs_own_consump_Chickens,eggs_sold_pct_Chickens,eggs_sold_Chickens,egg_price_prov_med_Chickens,egg_price_obs_Chickens,egg_price_impt_Chickens,egg_price_natl_med_Chickens,eggs_value_lost_Chickens,eggs_value_cultiv_Chickens,eggs_value_consump_Chickens,eggs_revenue_Chickens,ppkg_prov_med_Chickens,sale_ppkg_obs_Chickens,sale_ppkg_impt_Chickens,ppkg_natl_med_Chickens,sale_price_Chickens,sale_revenue_Chickens,slghtr_unit_value_Chickens,slghtr_value_Chickens,prod_value_Chickens,feed_Ducks,form_contract_Ducks,contract_coverage_Ducks,num_Ducks,births_Ducks,bought_received_Ducks,deaths_Ducks,sold_Ducks,sale_ppkg_Ducks,stolen_Ducks,gift_Ducks,slghtr_Ducks,num_vax_Ducks,months_eggs_collected_Ducks,days_month_eggs_collect_Ducks,daily_avg_egg_prod_Ducks,egg_price_Ducks,provision_feed_Ducks,for_sale_live_Ducks,for_gift_Ducks,for_meat_Ducks,for_eggs_total_Ducks,for_eggs_sale_Ducks,for_eggs_consump_Ducks,for_eggs_gift_Ducks,for_eggs_other_Ducks,growth_Ducks,loss_Ducks,net_growth_Ducks,num_start_Ducks,growth_pct_Ducks,loss_pct_Ducks,net_growth_pct_Ducks,peak_num_Ducks,mortality_rt_Ducks,vax_pct_Ducks,vax_Ducks,eggs_total_prod_Ducks,eggs_prod_annualized_Ducks,eggs_lost_pct_Ducks,eggs_kept_pct_Ducks,eggs_kept_Ducks,eggs_lost_Ducks,eggs_own_consump_pct_Ducks,eggs_own_consump_Ducks,eggs_sold_pct_Ducks,eggs_sold_Ducks,egg_price_prov_med_Ducks,egg_price_obs_Ducks,egg_price_impt_Ducks,egg_price_natl_med_Ducks,eggs_value_lost_Ducks,eggs_value_cultiv_Ducks,eggs_value_consump_Ducks,eggs_revenue_Ducks,ppkg_prov_med_Ducks,sale_ppkg_obs_Ducks,sale_ppkg_impt_Ducks,ppkg_natl_med_Ducks,sale_price_Ducks,sale_revenue_Ducks,slghtr_unit_value_Ducks,slghtr_value_Ducks,prod_value_Ducks,feed_Geese,form_contract_Geese,contract_coverage_Geese,num_Geese,births_Geese,bought_received_Geese,deaths_Geese,sold_Geese,sale_ppkg_Geese,stolen_Geese,gift_Geese,slghtr_Geese,num_vax_Geese,months_eggs_collected_Geese,days_month_eggs_collect_Geese,daily_avg_egg_prod_Geese,egg_price_Geese,provision_feed_Geese,for_sale_live_Geese,for_gift_Geese,for_meat_Geese,for_eggs_total_Geese,for_eggs_sale_Geese,for_eggs_consump_Geese,for_eggs_gift_Geese,for_eggs_other_Geese,growth_Geese,loss_Geese,net_growth_Geese,num_start_Geese,growth_pct_Geese,loss_pct_Geese,net_growth_pct_Geese,peak_num_Geese,mortality_rt_Geese,vax_pct_Geese,vax_Geese,eggs_total_prod_Geese,eggs_prod_annualized_Geese,eggs_lost_pct_Geese,eggs_kept_pct_Geese,eggs_kept_Geese,eggs_lost_Geese,eggs_own_consump_pct_Geese,eggs_own_consump_Geese,eggs_sold_pct_Geese,eggs_sold_Geese,egg_price_prov_med_Geese,egg_price_obs_Geese,egg_price_impt_Geese,egg_price_natl_med_Geese,eggs_value_lost_Geese,eggs_value_cultiv_Geese,eggs_value_consump_Geese,eggs_revenue_Geese,ppkg_prov_med_Geese,sale_ppkg_obs_Geese,sale_ppkg_impt_Geese,ppkg_natl_med_Geese,sale_price_Geese,sale_revenue_Geese,slghtr_unit_value_Geese,slghtr_value_Geese,prod_value_Geese,province
HID101429,2,0,,40,30,0,10,0,18000,0,0,15,0,,,,,1,0,0,1,0,0,0,0,0,30,25,5,35,.85714287,.71428573,.14285715,65,.15384616,0,0,,,,,,,,,,,1200,,,800,,,,,18000,,18000,16000,25380,,25380,380700,380700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
HID101461,1,0,,3,4,0,15,0,17000,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,4,15,-11,14,.2857143,1.0714285,-.78571427,18,.83333331,0,0,,,,,,,,,,,750,,,800,,,,,17000,,17000,16000,23970,,23970,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
HID101580,1,0,,2,30,0,8,10,20000,4,0,5,0,,,,,0,1,0,1,0,0,0,0,0,30,27,3,1,30,27,3,31,.25806451,0,0,,,,,,,,,,,1000,,,800,,,,,15000,20000,,16000,28200,282000,28200,141000,423000,1,0,,1,25,0,25,0,13000,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,25,25,0,1,25,25,0,26,.96153843,0,0,,,,,,,,,,,500,,,500,,,,,13000,,13000,12000,26390,,26390,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
HID101639,1,0,,30,100,0,70,0,13000,20,0,15,0,,,,,0,0,0,1,0,0,0,0,0,100,105,-5,35,2.8571429,3,-.14285715,135,.51851851,0,0,,,,,,,,,,,700,,,800,,,,,13000,,13000,16000,18330,,18330,274950,274950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HID101666,1,0,,50,40,0,0,0,18000,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,40,0,40,10,4,0,4,50,0,0,0,,,,,,,,,,,1200,,,800,,,,,18000,,18000,16000,25380,,25380,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
HID101774,1,0,,40,100,0,0,0,17000,0,0,40,0,,,,,0,0,0,1,0,0,0,0,0,100,40,60,1,100,40,60,101,0,0,0,,,,,,,,,,,,,,800,,,,,17000,,17000,16000,23970,,23970,958800,958800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
HID101853,1,0,,25,15,0,0,4,20000,0,0,6,0,,,,,0,1,0,1,0,0,0,0,0,15,10,5,20,.75,.5,.25,35,0,0,0,,,,,,,,,,,,,,800,,,,,18000,20000,,16000,28200,112800,28200,169200,282000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
HID101901,2,,,100,10,0,0,50,16000,0,0,6,0,,,,,1,1,0,1,0,0,0,0,0,10,56,-46,146,.06849315,.38356164,-.31506848,156,0,0,0,,,,,,,,,,,800,,,800,,,,,15750,16000,,16000,22560,1128000,22560,135360,1263360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
HID101937,2,0,,100,40,0,10,60,20000,0,0,15,100,,,,,1,1,0,1,0,0,0,0,0,40,85,-45,145,.27586207,.58620691,-.31034482,185,.054054055,.54054052,1,,,,,,,,,,,1200,,,800,,,,,18000,20000,,16000,28200,1692000,28200,423000,2115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
HID102093,2,0,,110,120,0,60,40,13000,5,6,30,0,,,,,1,1,1,1,0,0,0,0,0,120,141,-21,131,.91603053,1.0763359,-.16030534,251,.23904383,0,0,,,,,,,,,,,700,,,800,,,,,13000,13000,,16000,18330,733200,18330,549900,1283100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HID102185,1,0,,30,100,0,30,40,16000,0,0,20,0,,,,,0,1,0,1,0,0,0,0,0,100,90,10,20,5,4.5,.5,120,.25,0,0,,,,,,,,,,,,,,800,,,,,14000,16000,,16000,22560,902400,22560,451200,1353600,1,0,,4,0,0,0,0,11250,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,,,,,,,,,,,,,,500,,,,,11250,,11250,12000,22837.5,,22837.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
HID102269,2,0,,20,10,0,0,0,18000,0,0,3,0,,,,,1,0,0,1,0,0,0,0,0,10,3,7,13,.76923078,.23076923,.53846157,23,0,0,0,,,,,,,,,,,1200,,,800,,,,,18000,,18000,16000,25380,,25380,76140,76140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
HID102336,1,1,0,15,10,0,3,0,16000,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,10,3,7,8,1.25,.375,.875,18,.16666667,0,0,,,,,,,,,,,900,,,800,,,,,16000,,16000,16000,22560,,22560,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
HID102342,2,0,,50,300,4,100,0,17000,8,2,150,0,,,,,1,0,1,1,0,0,0,0,0,304,260,44,6,50.666668,43.333332,7.3333335,310,.32258064,0,0,,,,,,,,,,,1500,,,800,,,,,17000,,17000,16000,23970,,23970,3595500,3595500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
HID102398,2,0,,50,200,0,150,25,18000,0,5,30,0,,,,,1,1,1,1,0,0,0,0,0,200,210,-10,60,3.3333333,3.5,-.16666667,260,.57692307,0,0,,,,,,,,,,,800,,,800,,,,,15750,18000,,16000,25380,634500,25380,761400,1395900,2,0,,200,0,100,60,100,10000,0,5,20,15,,,,,1,1,1,1,0,0,0,0,0,100,185,-85,285,.3508772,.64912283,-.29824561,385,.15584415,.038961038,1,,,,,,,,,,,370,,,500,,,,,12000,10000,,12000,20300,2030000,20300,406000,2436000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
HID102464,1,0,,20,10,0,0,0,15000,0,0,20,0,,,,,0,0,0,1,0,0,0,0,0,10,20,-10,30,.33333334,.66666669,-.33333334,40,0,0,0,,,,,,,,,,,700,,,800,,,,,15000,,15000,16000,21150,,21150,423000,423000,1,0,,15,8,0,0,0,12000,0,0,10,0,,,,,0,0,0,1,0,0,0,0,0,8,10,-2,17,.47058824,.58823532,-.11764706,25,0,0,0,,,,,,,,,,,500,,,500,,,,,12000,,12000,12000,24360,,24360,243600,243600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
HID102469,2,0,,65,30,0,10,10,15000,0,0,10,0,,,,,1,1,0,1,0,0,0,0,0,30,30,0,65,.46153846,.46153846,0,95,.10526316,0,0,,,,,,,,,,,900,,,800,,,,,16000,15000,,16000,21150,211500,21150,211500,423000,2,0,,15,10,0,4,10,13000,0,0,5,0,,,,,1,1,0,1,0,0,0,0,0,10,19,-9,24,.41666666,.79166669,-.375,34,.11764706,0,0,,,,,,,,,,,500,,,500,,,,,15000,13000,,12000,26390,263900,26390,131950,395850,2,0,,10,8,0,0,0,30000,0,0,0,0,,,,,1,0,0,0,0,0,0,0,0,8,0,8,2,4,0,4,10,0,0,0,,,,,,,,,,,,,,10000,,,,,30000,,30000,24000,135000,,135000,,0,14
HID102658,2,0,,50,40,0,15,60,16000,0,0,38,0,,,,,1,1,0,1,0,0,0,0,0,40,113,-73,123,.32520324,.9186992,-.59349591,163,.092024542,0,0,,,,,,,,,,,750,,,800,,,,,17000,16000,,16000,22560,1353600,22560,857280,2210880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
HID102760,1,0,,30,20,0,10,20,12000,0,0,0,0,,,,,0,1,0,0,0,0,0,0,0,20,30,-10,40,.5,.75,-.25,60,.16666667,0,0,,,,,,,,,,,700,,,800,,,,,13000,12000,,16000,16920,338400,16920,,338400,1,0,,25,30,0,10,20,10000,0,0,0,0,,,,,0,1,0,0,0,0,0,0,0,30,30,0,25,1.2,1.2,0,55,.18181819,0,0,,,,,,,,,,,500,,,500,,,,,10000,10000,,12000,20300,406000,20300,,406000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HID102780,1,0,,20,90,0,50,0,18000,2,2,5,0,,,,,0,0,1,1,0,0,0,0,0,90,59,31,1,90,59,31,91,.54945058,0,0,,,,,,,,,,,1200,,,800,,,,,18000,,18000,16000,25380,,25380,126900,126900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
HID102869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
HID102900,1,0,,7,0,0,2,0,17000,0,0,2,0,,,,,0,0,0,1,0,0,0,0,0,0,4,-4,11,0,.36363637,-.36363637,11,.18181819,0,0,,,,,,,,,,,,,,800,,,,,17000,,17000,16000,23970,,23970,47940,47940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
HID102936,1,0,,25,30,0,30,0,16000,0,0,10,0,,,,,0,0,0,1,0,0,0,0,0,30,40,-10,35,.85714287,1.1428572,-.2857143,65,.46153846,0,0,,,,,,,,,,,900,,,800,,,,,16000,,16000,16000,22560,,22560,225600,225600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
HID103054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
HID103069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
