hhid,weight,province,feed_Buffalo,form_contract_Buffalo,contract_coverage_Buffalo,main_purpose_Buffalo,LIVESTOCKAGE_Buffalo,num_ado_male_Buffalo,num_ado_fem_Buffalo,num_adult_male_Buffalo,num_adult_fem_Buffalo,births_Buffalo,bought_received_Buffalo,deaths_Buffalo,sold_Buffalo,sale_price_Buffalo,stolen_Buffalo,gift_Buffalo,slghtr_Buffalo,num_vax_Buffalo,num_Buffalo,provision_feed_Buffalo,for_sale_live_Buffalo,for_gift_Buffalo,for_meat_Buffalo,for_draught_Buffalo,for_breeding_Buffalo,for_milk_Buffalo,growth_Buffalo,loss_Buffalo,net_growth_Buffalo,num_start_Buffalo,growth_pct_Buffalo,loss_pct_Buffalo,net_growth_pct_Buffalo,peak_num_Buffalo,mortality_rt_Buffalo,vax_pct_Buffalo,vax_Buffalo,price_prov_med_Buffalo,sale_price_obs_Buffalo,sale_price_impt_Buffalo,price_natl_med_Buffalo,sale_revenue_Buffalo,slghtr_unit_value_Buffalo,slghtr_value_Buffalo,prod_value_Buffalo,feed_Cattle,form_contract_Cattle,contract_coverage_Cattle,main_purpose_Cattle,LIVESTOCKAGE_Cattle,num_ado_male_Cattle,num_ado_fem_Cattle,num_adult_male_Cattle,num_adult_fem_Cattle,births_Cattle,bought_received_Cattle,deaths_Cattle,sold_Cattle,sale_price_Cattle,stolen_Cattle,gift_Cattle,slghtr_Cattle,num_vax_Cattle,num_Cattle,provision_feed_Cattle,for_sale_live_Cattle,for_gift_Cattle,for_meat_Cattle,for_draught_Cattle,for_breeding_Cattle,for_milk_Cattle,growth_Cattle,loss_Cattle,net_growth_Cattle,num_start_Cattle,growth_pct_Cattle,loss_pct_Cattle,net_growth_pct_Cattle,peak_num_Cattle,mortality_rt_Cattle,vax_pct_Cattle,vax_Cattle,price_prov_med_Cattle,sale_price_obs_Cattle,sale_price_impt_Cattle,price_natl_med_Cattle,sale_revenue_Cattle,slghtr_unit_value_Cattle,slghtr_value_Cattle,prod_value_Cattle,feed_Pigs,form_contract_Pigs,contract_coverage_Pigs,main_purpose_Pigs,LIVESTOCKAGE_Pigs,num_ado_male_Pigs,num_ado_fem_Pigs,num_adult_male_Pigs,num_adult_fem_Pigs,births_Pigs,bought_received_Pigs,deaths_Pigs,sold_Pigs,sale_price_Pigs,stolen_Pigs,gift_Pigs,slghtr_Pigs,num_vax_Pigs,num_Pigs,provision_feed_Pigs,for_sale_live_Pigs,for_gift_Pigs,for_meat_Pigs,for_draught_Pigs,for_breeding_Pigs,for_milk_Pigs,growth_Pigs,loss_Pigs,net_growth_Pigs,num_start_Pigs,growth_pct_Pigs,loss_pct_Pigs,net_growth_pct_Pigs,peak_num_Pigs,mortality_rt_Pigs,vax_pct_Pigs,vax_Pigs,price_prov_med_Pigs,sale_price_obs_Pigs,sale_price_impt_Pigs,price_natl_med_Pigs,sale_revenue_Pigs,slghtr_unit_value_Pigs,slghtr_value_Pigs,prod_value_Pigs,fhh,covid_shock,ag_comm,animal_area,animal_ded_area,qty_rice_harvested,area_rice_harvested,irrigation,drought,flood,extension_training
HID101429,33.6230445230251,Tboung Khmum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0010000000474975,1,9000,3.9,1,No,No,
HID101461,212.825885032904,Kampot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Draught,2,0,1,0,1,0,0,0,0,3000000,0,0,0,0,2,No feed,No,No,No,Yes,No,No,0,0,0,2,0,0,0,2,0,0,No,3000000,,3000000,2000000,,3000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,.0006000000284985,1,935,.4,1,No,No,
HID101580,49.092741535515,Svay Rieng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.003000000026077,1,0,0,0,No,No,
HID101639,117.336913664076,Banteay Meanchey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0006000000284985,1,400,2,1,Yes,No,
HID101666,27.4431079901459,Tboung Khmum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0003000000142492,1,2400,1,0,No,Yes,
HID101774,173.362795519052,Stung Treng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0010000000474975,1,0,0,1,No,No,
HID101853,20.8782727152829,Kampong Speu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Draught,2,2,0,0,2,1,0,0,0,3000000,0,0,0,0,4,No feed,No,No,No,Yes,No,No,1,0,1,3,.33333334,0,.33333334,4,0,0,No,3000000,,3000000,2000000,,3000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,,0,400,.3,1,No,No,
HID101901,199.819962973598,Kampong Chhnang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A mix of grazing and feeding,No,,Live sale,2,1,1,0,3,0,0,0,0,2000000,0,0,0,0,5,Feed,Yes,No,No,No,No,No,0,0,0,5,0,0,0,5,0,0,No,2000000,,2000000,2000000,,2000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0020000000949949,1,1150,.91,1,No,No,
HID101937,25.3503242142841,Tboung Khmum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A mix of grazing and feeding,No,,Live sale,1,12,8,2,3,12,0,3,15,900000,0,0,0,20,25,Feed,Yes,No,No,No,No,No,12,18,-6,31,.38709676,.58064514,-.19354838,43,.069767445,.46511629,Yes,480000,900000,,600000,13500000,900000,,13500000,0,1,2,,0,0,0,1,No,No,
HID102093,53.5226326415698,Banteay Meanchey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0015000000130385,1,0,0,1,Yes,No,
HID102185,141.017420848742,Otdar Meanchey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0049999998882413,1,2000,1,1,No,No,
HID102269,68.098621405269,Tboung Khmum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0006000000284985,1,4000,.53,0,No,No,
HID102336,205.205716216627,Prey Veng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0015000000130385,1,2775,1,1,No,No,
HID102342,31.7968518898988,Preah Vihear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0012000000569969,1,0,0,1,No,No,
HID102398,232.572821935822,Kampong Chhnang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,.010499999858439,1,23000,1.6,1,No,No,
HID102464,119.21448573272,Kampong Thom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0017999999690801,1,500,.5,1,Yes,No,
HID102469,130.18890917964,Prey Veng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,0,0,1,0,1,0,0,1775000,0,0,0,0,1,No feed,Yes,No,No,No,No,No,1,0,1,1,1,0,1,2,0,0,No,1775000,,1775000,2000000,,1775000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0199999995529652,1,1400,.5,1,No,Yes,
HID102658,173.075645730317,Kampot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,1,0,2,1,0,0,0,3000000,0,0,0,2,3,No feed,Yes,No,No,No,No,No,1,0,1,2,.5,0,.5,3,0,.66666669,Yes,3000000,,3000000,2000000,,3000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0037000000011176,1,750,.3,1,No,No,
HID102760,120.531929816541,Banteay Meanchey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,.0015999999595806,1,0,0,,No,No,
HID102780,219.678984297106,Tboung Khmum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,2,0,0,1,0,0,0,0,2000000,0,0,0,0,3,No feed,Yes,No,No,No,No,No,0,0,0,3,0,0,0,3,0,0,No,2000000,,2000000,2000000,,2000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0049999998882413,1,0,0,1,No,Yes,
HID102869,43.4806581363119,Kandal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A mix of grazing and feeding,No,,Live sale,2,0,0,2,2,0,1,0,1,2500000,0,0,0,0,4,Feed,Yes,No,No,No,No,No,1,1,0,4,.25,.25,0,5,0,0,No,2750000,2500000,,2000000,2500000,2500000,,2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0040000001899898,1,0,0,0,No,No,
HID102900,165.499331967945,Kampong Cham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0003000000142492,1,630,.3,1,No,No,
HID102936,127.899654657133,Prey Veng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,1,0,0,2,0,0,0,3,2700000,0,0,0,0,3,No feed,Yes,No,No,No,No,No,0,3,-3,6,0,.5,-.5,6,0,0,No,1775000,2700000,,2000000,8100000,2700000,,8100000,Only grazing,No,,Live sale,1,10,13,0,4,23,0,27,0,427500,0,0,0,0,27,No feed,Yes,No,No,No,No,No,23,27,-4,31,.74193549,.87096775,-.12903225,54,.5,0,No,427500,,427500,600000,,427500,,0,0,1,2,.0006000000284985,1,3300,1.08,1,No,No,
HID103054,43.1823703407395,Battambang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only feeding,No,,Live sale,1,20,5,0,0,0,25,7,18,480000,0,0,0,0,25,Feed,Yes,No,No,No,No,No,25,25,0,25,1,1,0,50,.14,0,No,700000,480000,,600000,8640000,480000,,8640000,0,1,2,.0049999998882413,1,2700,1.2,1,No,No,
HID103069,135.80680477974,Kampong Cham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Breeding,2,0,1,0,1,1,0,0,1,4000000,0,0,0,0,2,No feed,Yes,No,No,No,Yes,No,1,1,0,2,.5,.5,0,3,0,0,No,3000000,4000000,,2000000,4000000,4000000,,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.1000000014901161,1,3000,.63,1,No,No,
HID103072,122.492572868228,Kampong Thom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,1,2,0,4,0,0,0,1,1600000,0,0,0,4,7,No feed,Yes,No,No,No,No,No,0,1,-1,8,0,.125,-.125,8,0,.5,Yes,1800000,1600000,,2000000,1600000,1600000,,1600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0013999999500811,1,3675,2.233,1,No,No,
HID103155,113.670595925804,Kampong Speu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,1,0,1,3,1,0,0,2,3000000,0,0,0,0,5,No feed,Yes,No,No,No,No,No,1,2,-1,6,.16666667,.33333334,-.16666667,7,0,0,No,3000000,,3000000,2000000,6000000,3000000,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0199999995529652,1,5000,2.2,1,No,No,
HID103168,318.632747750347,Siem Reap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A mix of grazing and feeding,No,,Live sale,2,0,0,2,0,0,0,0,0,2000000,0,0,0,0,2,Feed,Yes,No,No,No,No,No,0,0,0,2,0,0,0,2,0,0,No,2000000,,2000000,2000000,,2000000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,.0071999998763204,1,0,0,1,No,No,
HID103193,143.648684221016,Kratie,Only grazing,No,,Breeding,2,0,1,0,2,1,0,0,0,3000000,0,0,0,0,3,No feed,No,No,No,No,Yes,No,1,0,1,2,.5,0,.5,3,0,0,No,3000000,,3000000,3200000,,3000000,,0,Only grazing,No,,Breeding,2,3,1,5,6,1,0,1,0,1700000,0,0,0,0,15,No feed,No,No,No,No,Yes,No,1,1,0,15,.06666667,.06666667,0,16,.0625,0,No,1700000,,1700000,2000000,,1700000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,.0060000000521541,1,5000,4,1,No,Yes,
HID103228,109.530395876755,Kampong Thom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Breeding,2,0,0,0,1,0,0,0,0,1800000,0,0,0,0,1,No feed,No,No,No,No,Yes,No,0,0,0,1,0,0,0,1,0,0,No,1800000,,1800000,2000000,,1800000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0006000000284985,1,600,.7,1,No,No,
HID103377,40.4118567230898,Banteay Meanchey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0012000000569969,1,25000,12.5,1,Yes,No,
HID103410,26.5686298270224,Kampot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A mix of grazing and feeding,No,,Meat,1,15,20,8,18,36,0,0,4,600000,0,0,3,0,61,Feed,Yes,No,Yes,No,No,No,36,7,29,32,1.125,.21875,.90625,68,0,0,No,670000,600000,,600000,2400000,600000,1800000,4200000,0,1,2,,0,0,0,0,No,No,
HID103456,39.7134997447232,Ratanak Kiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0015999999595806,1,0,0,1,No,No,
HID103520,53.5226326415698,Banteay Meanchey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0108000002801418,1,1500,1,1,Yes,No,
HID103658,111.826703402707,Prey Veng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,1,0,0,5,1,0,0,0,1775000,0,0,0,0,6,No feed,Yes,No,No,No,No,No,1,0,1,5,.2,0,.2,6,0,0,No,1775000,,1775000,2000000,,1775000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0071999998763204,1,1900,.7,0,No,Yes,
HID103695,31.0827934453669,Mondul Kiri,Only grazing,No,,Breeding,2,1,0,1,2,1,1,0,0,4000000,0,0,0,0,4,No feed,No,No,No,No,Yes,No,2,0,2,2,1,0,1,4,0,0,No,4000000,,4000000,3200000,,4000000,,0,Only grazing,No,,Breeding,2,0,0,0,2,0,1,0,0,1250000,0,0,0,0,2,No feed,No,No,No,No,Yes,No,1,0,1,1,1,0,1,2,0,0,No,1250000,,1250000,2000000,,1250000,,0,A mix of grazing and feeding,No,,Live sale,1,0,1,0,0,0,1,4,2,300000,0,0,1,0,1,Feed,Yes,No,Yes,No,No,No,1,7,-6,7,.14285715,1,-.85714287,8,.5,0,No,300000,300000,,600000,600000,300000,300000,900000,0,1,2,.003000000026077,1,4000,1.5,1,No,No,
HID103705,127.508584061211,Siem Reap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only grazing,No,,Live sale,2,0,0,1,0,0,0,0,1,1200000,0,0,0,1,1,No feed,Yes,No,No,No,No,No,0,1,-1,2,0,.5,-.5,2,0,.5,Yes,2000000,1200000,,2000000,1200000,1200000,,1200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0006000000284985,1,0,0,1,No,No,
HID103754,129.11051985447,Kampong Chhnang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0015000000130385,1,0,0,0,No,No,
