hhid,weight,province,feed_Buffalo,form_contract_Buffalo,contract_coverage_Buffalo,main_purpose_Buffalo,LIVESTOCKAGE_Buffalo,num_ado_male_Buffalo,num_ado_fem_Buffalo,num_adult_male_Buffalo,num_adult_fem_Buffalo,births_Buffalo,bought_received_Buffalo,deaths_Buffalo,sold_Buffalo,sale_price_Buffalo,stolen_Buffalo,gift_Buffalo,slghtr_Buffalo,num_vax_Buffalo,num_Buffalo,provision_feed_Buffalo,for_sale_live_Buffalo,for_gift_Buffalo,for_meat_Buffalo,for_draught_Buffalo,for_breeding_Buffalo,for_milk_Buffalo,growth_Buffalo,loss_Buffalo,net_growth_Buffalo,num_2019_Buffalo,growth_pct_Buffalo,loss_pct_Buffalo,net_growth_pct_Buffalo,mortality_rt_Buffalo,vax_pct_Buffalo,vax_Buffalo,price_prov_med_Buffalo,sale_price_obs_Buffalo,sale_price_impt_Buffalo,price_natl_med_Buffalo,sale_revenue_Buffalo,slghtr_unit_value_Buffalo,slghtr_value_Buffalo,prod_value_Buffalo,area_Buffalo,productivity_Buffalo,yield_Buffalo,feed_Cattle,form_contract_Cattle,contract_coverage_Cattle,main_purpose_Cattle,LIVESTOCKAGE_Cattle,num_ado_male_Cattle,num_ado_fem_Cattle,num_adult_male_Cattle,num_adult_fem_Cattle,births_Cattle,bought_received_Cattle,deaths_Cattle,sold_Cattle,sale_price_Cattle,stolen_Cattle,gift_Cattle,slghtr_Cattle,num_vax_Cattle,num_Cattle,provision_feed_Cattle,for_sale_live_Cattle,for_gift_Cattle,for_meat_Cattle,for_draught_Cattle,for_breeding_Cattle,for_milk_Cattle,growth_Cattle,loss_Cattle,net_growth_Cattle,num_2019_Cattle,growth_pct_Cattle,loss_pct_Cattle,net_growth_pct_Cattle,mortality_rt_Cattle,vax_pct_Cattle,vax_Cattle,price_prov_med_Cattle,sale_price_obs_Cattle,sale_price_impt_Cattle,price_natl_med_Cattle,sale_revenue_Cattle,slghtr_unit_value_Cattle,slghtr_value_Cattle,prod_value_Cattle,area_Cattle,productivity_Cattle,yield_Cattle,feed_Pigs,form_contract_Pigs,contract_coverage_Pigs,main_purpose_Pigs,LIVESTOCKAGE_Pigs,num_ado_male_Pigs,num_ado_fem_Pigs,num_adult_male_Pigs,num_adult_fem_Pigs,births_Pigs,bought_received_Pigs,deaths_Pigs,sold_Pigs,sale_price_Pigs,stolen_Pigs,gift_Pigs,slghtr_Pigs,num_vax_Pigs,num_Pigs,provision_feed_Pigs,for_sale_live_Pigs,for_gift_Pigs,for_meat_Pigs,for_draught_Pigs,for_breeding_Pigs,for_milk_Pigs,growth_Pigs,loss_Pigs,net_growth_Pigs,num_2019_Pigs,growth_pct_Pigs,loss_pct_Pigs,net_growth_pct_Pigs,mortality_rt_Pigs,vax_pct_Pigs,vax_Pigs,price_prov_med_Pigs,sale_price_obs_Pigs,sale_price_impt_Pigs,price_natl_med_Pigs,sale_revenue_Pigs,slghtr_unit_value_Pigs,slghtr_value_Pigs,prod_value_Pigs,area_Pigs,productivity_Pigs,yield_Pigs,fhh,covid_shock,ag_comm,livestock_area,rice,qty_rice_harvested,area_rice_harvested,irrigation,drought,flood,extension_training
HID101853,20.8782727152829,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,3,2,2,0,0,2,1,0,0,0,3000000,0,0,0,0,4,0,0,0,0,1,0,0,1,0,1,3,.33333334,0,.33333334,0,0,0,3000000,,3000000,2000000,0,3000000,0,0,,1886222976,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,1,415,.3,1,0,0,
HID101901,199.819962973598,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,5,2,1,1,0,3,0,0,0,0,2000000,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2000000,,2000000,2000000,0,2000000,0,0,.0014285715,0,3499.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0020000000949949,1,1402,.9123999999999999,1,0,0,
HID101937,25.3503242142841,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,5,1,12,8,2,3,12,0,3,15,900000,0,0,0,20,25,1,1,0,0,0,0,0,12,18,-6,31,.38709676,.58064514,-.19354838,.069767445,.46511629,1,480000,900000,,600000,13500000,900000,0,13500000,,1797000192,3050,0,1,2,0,0,0,0,1,0,0,
HID102093,53.5226326415698,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0015000000130385,0,0,0,1,1,0,
HID102185,141.017420848742,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0049999998882413,1,12200,4,1,0,0,
HID102269,68.098621405269,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0006000000284985,1,4025,.53,0,0,0,
HID102336,205.205716216627,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0015000000130385,1,2780,1,1,0,0,
HID102342,31.7968518898988,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0012000000569969,0,0,0,1,0,0,
HID102398,232.572821935822,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,.010499999858439,1,23718,1.6,1,0,0,
HID102464,119.21448573272,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0017999999690801,1,550,.5,1,1,0,
HID102469,130.18890917964,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,5,2,0,0,0,1,0,1,0,0,1775000,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1775000,,1775000,2000000,0,1775000,0,0,.0071428572,0,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0199999995529652,1,1530,.51,1,0,1,
HID102658,173.075645730317,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,5,2,0,1,0,2,1,0,0,0,3000000,0,0,0,2,3,0,1,0,0,0,0,0,1,0,1,2,.5,0,.5,0,.66666669,1,3000000,,3000000,2000000,0,3000000,0,0,.0027749999,0,1081.0811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0037000000011176,1,760,.3003,1,0,0,
HID102760,120.531929816541,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,.0015999999595806,0,0,0,,0,0,
HID102780,219.678984297106,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,5,2,2,0,0,1,0,0,0,0,2000000,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2000000,,2000000,2000000,0,2000000,0,0,.0044117644,0,680.00006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0049999998882413,0,0,0,1,0,1,
HID102869,43.4806581363119,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,5,2,0,0,2,2,0,1,0,1,2500000,0,0,0,0,4,1,1,0,0,0,0,0,1,1,0,4,.25,.25,0,0,0,0,2750000,2500000,,2000000,2500000,2500000,0,2500000,.0040000002,625000000,999.99994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0040000001899898,0,0,0,0,0,0,
HID102900,165.499331967945,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0003000000142492,1,630,.3,1,0,0,
HID102936,127.899654657133,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,5,2,1,0,0,2,0,0,0,3,2700000,0,0,0,0,3,0,1,0,0,0,0,0,0,3,-3,6,0,.5,-.5,0,0,0,1775000,2700000,,2000000,8100000,2700000,0,8100000,.000059016398,137249988608,50833.328,1,0,,5,1,10,13,0,4,23,0,27,0,427500,0,0,0,0,27,0,1,0,0,0,0,0,23,27,-4,31,.74193549,.87096775,-.12903225,.5,0,0,427500,,427500,600000,0,427500,0,0,.00053114758,0,50833.328,0,1,2,.0006000000284985,1,3310,1.08,1,0,0,
HID103054,43.1823703407395,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,5,1,20,5,0,0,0,25,7,18,480000,0,0,0,0,25,1,1,0,0,0,0,0,25,25,0,25,1,1,0,.14,0,0,700000,480000,,600000,8640000,480000,0,8640000,.0049999999,1728000000,5000,0,1,2,.0049999998882413,1,2720,1.2,1,0,0,
HID103069,135.80680477974,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,4,2,0,1,0,1,1,0,0,1,4000000,0,0,0,0,2,0,1,0,0,0,1,0,1,1,0,2,.5,.5,0,0,0,0,3000000,4000000,,2000000,4000000,4000000,0,4000000,.1,40000000,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.1000000014901161,1,3000,.63,1,0,0,
HID103072,122.492572868228,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,5,2,1,2,0,4,0,0,0,1,1600000,0,0,0,4,7,0,1,0,0,0,0,0,0,1,-1,8,0,.125,-.125,0,.5,1,1800000,1600000,,2000000,1600000,1600000,0,1600000,.0012628866,1266938752,5542.8574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0013999999500811,1,3786,2.235300000000001,1,0,0,
HID103155,113.670595925804,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,5,2,1,0,1,3,1,0,0,2,3000000,0,0,0,0,5,0,1,0,0,0,0,0,1,2,-1,6,.16666667,.33333334,-.16666667,0,0,0,3000000,,3000000,2000000,6000000,3000000,0,6000000,.018656716,321600000,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0199999995529652,1,6000,2.2,1,0,0,
HID103168,318.632747750347,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,5,2,0,0,2,0,0,0,0,0,2000000,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2000000,,2000000,2000000,0,2000000,0,0,.0071999999,0,277.77777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,.0071999998763204,0,0,0,1,0,0,
HID103193,143.648684221016,10,1,0,,4,2,0,1,0,2,1,0,0,0,3000000,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1,2,.5,0,.5,0,0,0,3000000,,3000000,3200000,0,3000000,0,0,.00098360656,0,3050,1,0,,4,2,3,1,5,6,1,0,1,0,1700000,0,0,0,0,15,0,0,0,0,0,1,0,1,1,0,15,.06666667,.06666667,0,.0625,0,0,1700000,,1700000,2000000,0,1700000,0,0,.0049180328,0,3050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,.0060000000521541,1,5240,4,1,0,1,
HID103228,109.530395876755,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,4,2,0,0,0,1,0,0,0,0,1800000,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1800000,,1800000,2000000,0,1800000,0,0,.00040000002,0,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,.0006000000284985,1,3245,1.7046,1,0,0,
HID103377,40.4118567230898,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0012000000569969,1,95030,16,1,1,0,
HID103410,26.5686298270224,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,2,1,15,20,8,18,36,0,0,4,600000,0,0,3,0,61,1,1,0,1,0,0,0,36,7,29,32,1.125,.21875,.90625,0,0,0,670000,600000,,600000,2400000,600000,1800000,4200000,,1797000192,3050,0,1,2,0,0,0,0,0,0,0,
HID103456,39.7134997447232,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0015999999595806,0,0,0,1,0,0,
HID103520,53.5226326415698,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0108000002801418,1,41502,4.501300000000001,1,1,0,
HID103658,111.826703402707,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,5,2,1,0,0,5,1,0,0,0,1775000,0,0,0,0,6,0,1,0,0,0,0,0,1,0,1,5,.2,0,.2,0,0,0,1775000,,1775000,2000000,0,1775000,0,0,.0067499997,0,888.88892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0071999998763204,1,2200,.8002999999999999,0,0,1,
HID103695,31.0827934453669,11,1,0,,4,2,1,0,1,2,1,1,0,0,4000000,0,0,0,0,4,0,0,0,0,0,1,0,2,0,2,2,1,0,1,0,0,0,4000000,,4000000,3200000,0,4000000,0,0,.0016085792,0,2486.6665,1,0,,4,2,0,0,0,2,0,1,0,0,1250000,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1250000,,1250000,2000000,0,1250000,0,0,.00080428959,0,2486.6665,2,0,,5,1,0,1,0,0,0,1,4,2,300000,0,0,1,0,1,1,1,0,1,0,0,0,1,7,-6,7,.14285715,1,-.85714287,.5,0,0,300000,300000,,600000,600000,300000,300000,900000,.0004021448,2237999872,2486.6665,0,1,2,.003000000026077,1,4180,1.8,1,0,0,
HID103705,127.508584061211,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,5,2,0,0,1,0,0,0,0,1,1200000,0,0,0,1,1,0,1,0,0,0,0,0,0,1,-1,2,0,.5,-.5,0,.5,1,2000000,1200000,,2000000,1200000,1200000,0,1200000,.00049180328,2440000000,2033.3334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0006000000284985,1,2525,.12,1,0,0,
HID103754,129.11051985447,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,.0015000000130385,0,0,0,0,0,0,
