pathwayID,goalName,Policy.Goal,Pathway,Instrument,Implementation,Producer.unit.costs,Final.consumer.price,Final.prod.Q,Prod.Quality,Speed,Trade.or.Legal.Considerations,Overall Feasibility
15,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,កែលម្អការផ្គត់ផ្គង់ដោយការកែលម្អកន្លែងភ្ញាស់ និងរោងចក្រកែច្នៃ,ប្រាក់ឧបត្ថម្ភ,ឧបត្ថម្ភធនលើកន្លែងភ្ញាស់ និងរោងចក្រកែច្នៃ,⬇,⬆,⬆,⬆,លឿន,NA,NA
16,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,កាត់បន្ថយថ្លៃដើមចំណីរបស់អ្នកផលិត,ប្រាក់ឧបត្ថម្ភ,អាហារឧបត្ថម្ភ,⬇,⬇,⬆,⬍,មធ្យម,NA,NA
17,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,កាត់បន្ថយថ្លៃដើមចំណីរបស់អ្នកផលិត,ព័ត៌មាន,ព័ត៌មានអំពីប្រភពដែលមានតម្លៃថោកនៃចំណី,⬇,⬇,⬆,⬍,យឺត,NA,NA
18,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,កែលម្អការផ្គត់ផ្គង់ដោយកាត់បន្ថយការស្លាប់របស់បសុសត្វ,ព័ត៌មាន,ព័ត៌មានអំពីវ៉ាក់សាំង,⬆,⬍,⬆,⬆,យឺត,NA,NA
19,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,កែលម្អការផ្គត់ផ្គង់ដោយកាត់បន្ថយការស្លាប់របស់បសុសត្វ,ប្រាក់ឧបត្ថម្ភ,វ៉ាក់សាំងឧបត្ថម្ភ,=,⬍,⬍,⬆,យឺត,NA,NA
20,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,កាត់បន្ថយថ្លៃដើមចំណីរបស់អ្នកផលិត,ព័ត៌មាន,ជូនដំណឹងដល់កសិករអំពីដំណាំចំណី និងការចិញ្ចឹមគោលដៅ,=,⬇,⬆,⬆,យឺត,NA,NA
21,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,កាត់បន្ថយការប្រកួតប្រជែងជាមួយសាច់គោនាំចូល,ពន្ធ,ពន្ធលើការនាំចូល,=,⬆,⬇,⬍,លឿន,NA,NA
22,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,បង្កើនតម្រូវការតាមរយៈការទិញរបស់រដ្ឋាភិបាល,បទប្បញ្ញត្តិ,ការទិញសាច់គោរបស់រដ្ឋាភិបាល,=,⬆,⬆,⬍,មធ្យម,NA,NA
23,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,បង្កើនការប្រើប្រាស់ពូជគោក្នុងស្រុក/ជនជាតិដើមភាគតិច ដោយបង្កើតការយល់ដឹងអ្នកប្រើប្រាស់,ព័ត៌មាន,យុទ្ធនាការទីផ្សារ,=,⬍,⬆,⬍,មធ្យម,NA,NA
24,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,បង្កើនការបង្កើតវាលស្មៅ/វាលស្មៅ,ប្រាក់ឧបត្ថម្ភ,ឧបត្ថម្ភធនលើការទិញ ឬបំប្លែងដីទៅជាវាលស្មៅ,=,⬆,⬆,⬍,មធ្យម,NA,NA
25,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,បង្កើន​ការ​ផ្គត់ផ្គង់​គោ​ក្របី​តាម​រយៈ​ការ​បង្កើន​ការ​ប្រើ​ប្រាស់​សិប្បនិម្មិត,ព័ត៌មាន,ជូនដំណឹងដល់អ្នកផលិតអំពីអត្ថប្រយោជន៍នៃការបណ្តុះសិប្បនិម្មិត,=,⬆,⬆,⬆,យឺត,NA,NA
26,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,បង្កើនការផ្គត់ផ្គង់គោក្របី តាមរយៈជំនួយឧបត្ថម្ភកូនគោ ឬសម្ភារៈបង្កាត់ពូជ,ប្រាក់ឧបត្ថម្ភ,ឧបត្ថម្ភធនសម្ភារៈចិញ្ចឹមសត្វ,=,⬍,⬆,⬆,យឺត,NA,NA
27,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,បង្កើនលទ្ធភាពទទួលបានយន្តការ ឬឧបករណ៍ដើម្បីកាត់បន្ថយការប្រើប្រាស់គោក្របីដែលមិនមែនជាអាហារ,ប្រាក់ឧបត្ថម្ភ,ឧបករណ៍កសិកម្មឧបត្ថម្ភធន,=,⬇,⬇,⬍,យឺត,NA,NA
28,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,កែលម្អការផ្គត់ផ្គង់ដោយការបង្កើនប្រសិទ្ធភាពផលិតកម្ម,ព័ត៌មាន,ធ្វើឱ្យប្រសើរឡើងនូវលទ្ធភាពរបស់កសិករក្នុងការបណ្តុះបណ្តាលលើការផលិតបសុបក្សី,=,⬇,⬆,⬍,យឺត,NA,NA
29,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,កែលម្អការផ្គត់ផ្គង់ដោយការបង្កើនប្រសិទ្ធភាពផលិតកម្ម,ព័ត៌មាន,កែលម្អលទ្ធភាពទទួលបានព័ត៌មានរបស់កសិករអំពីការអនុវត្តផលិតកម្មល្អតាមរយៈ ICT និងសេវាកម្មពង្រីកឌីជីថល,=,⬇,⬆,⬍,លឿន,NA,NA
30,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,បង្កើនបរិមាណ និងគុណភាពនៃមាន់ដែលផលិត,ប្រាក់ឧបត្ថម្ភ,ឧបត្ថម្ភធន ឬផ្តល់មូលនិធិដល់កម្មវិធីបង្កាត់ពូជសម្រាប់កែលម្អមាន់ក្នុងស្រុក,=,⬇,⬆,⬆,យឺត,NA,NA
31,បសុបក្សី,កែលម្អផលិតកម្ម និងការប្រើប្រាស់បសុបក្សីក្នុងស្រុក,បង្កើនបរិមាណ និងគុណភាពនៃមាន់ដែលផលិត,ប្រាក់ឧបត្ថម្ភ,ឧបត្ថម្ភធន ឬផ្តល់មូលនិធិដល់ការទិញពូជកម្រ និងផ្តល់ទិន្នផលខ្ពស់។,=,⬍,⬆,⬍,មធ្យម,NA,NA
32,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,កែលម្អការផ្គត់ផ្គង់ដោយការបង្កើនប្រសិទ្ធភាពផលិតកម្មតាមរយៈការអប់រំ,ព័ត៌មាន,ផ្តល់កម្មវិធីបន្ថែមទាក់ទងនឹងការកែលម្អការអនុវត្តការចិញ្ចឹម និងការការពារជំងឺ,=,⬍,⬆,⬍,យឺត,NA,NA
33,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,កែលម្អការផ្គត់ផ្គង់ដោយកាត់បន្ថយការស្លាប់,ព័ត៌មាន,ផ្តល់ការបណ្តុះបណ្តាលលើការអនុវត្តសុខភាព និងសុវត្ថិភាពជីវសុវត្ថិភាព,=,⬍,⬆,⬆,យឺត,NA,NA
34,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,កាត់បន្ថយការចំណាយរបស់អ្នកផលិត,ប្រាក់ឧបត្ថម្ភ,ឧបត្ថម្ភថ្លៃដើមស្មៅចំណី,=,⬇,⬆,⬍,យឺត,NA,NA
35,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,កែលម្អការផ្គត់ផ្គង់ដោយកាត់បន្ថយការស្លាប់របស់បសុសត្វ,ព័ត៌មាន,ព័ត៌មានអំពីការអនុវត្តការគ្រប់គ្រងជីវសុវត្ថិភាព,⬆,⬍,⬆,⬆,យឺត,NA,NA
36,បសុសត្វ,កាត់បន្ថយការនាំចូលសាច់គោ ដោយបង្កើនផលិតកម្មក្នុងស្រុក,បង្កើន​ការ​ផលិត​គោ​ក្របី​ឱ្យ​កាន់​តែ​ខ្លាំង និង​ការ​ចូល​ទៅ​កាន់​ទីផ្សារ,ព័ត៌មាន,ព័ត៌មាន​អំពី​ការ​បង្កើន​ផលិតកម្ម​សាច់គោ​តាម​រយៈ​ប្រព័ន្ធ​ដំណាំ​-បសុសត្វ​ដែល​បាន​ធ្វើ​ឱ្យ​ប្រសើរ​ឡើង,⬆,⬆,⬆,⬍,មធ្យម,NA,NA
39,គ្រាប់ស្វាយចន្ទី,បង្កើនប្រាក់ចំណូលរបស់អ្នកផលិតគ្រាប់ស្វាយចន្ទី,,,,,,,,,,
